date,home_team,away_team,home_score,away_score,tournament,country,victoire
1992-01-16,Senegal,Kenya,3,0,African Cup of Nations,Senegal,True
1992-01-19,Senegal,Cameroon,0,1,African Cup of Nations,Senegal,False
1992-06-10,Sweden,France,1,1,UEFA Euro,Sweden,False
1992-06-14,Sweden,Denmark,1,0,UEFA Euro,Sweden,True
1992-06-17,Sweden,England,2,1,UEFA Euro,Sweden,True
1992-06-21,Sweden,Germany,2,3,UEFA Euro,Sweden,False
1992-10-30,Japan,United Arab Emirates,0,0,AFC Asian Cup,Japan,False
1992-11-01,Japan,North Korea,1,1,AFC Asian Cup,Japan,False
1992-11-03,Japan,Iran,1,0,AFC Asian Cup,Japan,True
1992-11-06,Japan,China PR,3,2,AFC Asian Cup,Japan,True
1992-11-08,Japan,Saudi Arabia,1,0,AFC Asian Cup,Japan,True
1993-06-15,Ecuador,Venezuela,6,1,Copa América,Ecuador,True
1993-06-19,Ecuador,United States,2,0,Copa América,Ecuador,True
1993-06-22,Ecuador,Uruguay,2,1,Copa América,Ecuador,True
1993-06-26,Ecuador,Paraguay,3,0,Copa América,Ecuador,True
1993-06-30,Ecuador,Mexico,0,2,Copa América,Ecuador,False
1993-07-03,Ecuador,Colombia,0,1,Copa América,Ecuador,False
1994-03-26,Tunisia,Mali,0,2,African Cup of Nations,Tunisia,False
1994-03-30,Tunisia,DR Congo,1,1,African Cup of Nations,Tunisia,False
1994-06-18,United States,Switzerland,1,1,FIFA World Cup,United States,False
1994-06-22,United States,Colombia,2,1,FIFA World Cup,United States,True
1994-06-26,United States,Romania,0,1,FIFA World Cup,United States,False
1994-07-04,United States,Brazil,0,1,FIFA World Cup,United States,False
1995-07-05,Uruguay,Venezuela,4,1,Copa América,Uruguay,True
1995-07-09,Uruguay,Paraguay,1,0,Copa América,Uruguay,True
1995-07-13,Uruguay,Mexico,1,1,Copa América,Uruguay,False
1995-07-16,Uruguay,Bolivia,2,1,Copa América,Uruguay,True
1995-07-19,Uruguay,Colombia,2,0,Copa América,Uruguay,True
1995-07-23,Uruguay,Brazil,1,1,Copa América,Uruguay,False
1996-01-13,South Africa,Cameroon,3,0,African Cup of Nations,South Africa,True
1996-01-20,South Africa,Angola,1,0,African Cup of Nations,South Africa,True
1996-01-24,South Africa,Egypt,0,1,African Cup of Nations,South Africa,False
1996-01-27,South Africa,Algeria,2,1,African Cup of Nations,South Africa,True
1996-01-31,South Africa,Ghana,3,0,African Cup of Nations,South Africa,True
1996-02-03,South Africa,Tunisia,2,0,African Cup of Nations,South Africa,True
1996-06-08,England,Switzerland,1,1,UEFA Euro,England,False
1996-06-15,England,Scotland,2,0,UEFA Euro,England,True
1996-06-18,England,Netherlands,4,1,UEFA Euro,England,True
1996-06-22,England,Spain,0,0,UEFA Euro,England,False
1996-06-26,England,Germany,1,1,UEFA Euro,England,False
1996-12-04,United Arab Emirates,South Korea,1,1,AFC Asian Cup,United Arab Emirates,False
1996-12-07,United Arab Emirates,Kuwait,3,2,AFC Asian Cup,United Arab Emirates,True
1996-12-10,United Arab Emirates,Indonesia,2,0,AFC Asian Cup,United Arab Emirates,True
1996-12-15,United Arab Emirates,Iraq,1,0,AFC Asian Cup,United Arab Emirates,True
1996-12-19,United Arab Emirates,Kuwait,1,0,AFC Asian Cup,United Arab Emirates,True
1996-12-21,United Arab Emirates,Saudi Arabia,0,0,AFC Asian Cup,United Arab Emirates,False
1997-06-12,Bolivia,Venezuela,1,0,Copa América,Bolivia,True
1997-06-15,Bolivia,Peru,2,0,Copa América,Bolivia,True
1997-06-18,Bolivia,Uruguay,1,0,Copa América,Bolivia,True
1997-06-21,Bolivia,Colombia,2,1,Copa América,Bolivia,True
1997-06-25,Bolivia,Mexico,3,1,Copa América,Bolivia,True
1997-06-29,Bolivia,Brazil,1,3,Copa América,Bolivia,False
1998-02-07,Burkina Faso,Cameroon,0,1,African Cup of Nations,Burkina Faso,False
1998-02-11,Burkina Faso,Algeria,2,1,African Cup of Nations,Burkina Faso,True
1998-02-15,Burkina Faso,Guinea,1,0,African Cup of Nations,Burkina Faso,True
1998-02-21,Burkina Faso,Tunisia,1,1,African Cup of Nations,Burkina Faso,False
1998-02-25,Burkina Faso,Egypt,0,2,African Cup of Nations,Burkina Faso,False
1998-02-27,Burkina Faso,DR Congo,4,4,African Cup of Nations,Burkina Faso,False
1998-06-12,France,South Africa,3,0,FIFA World Cup,France,True
1998-06-18,France,Saudi Arabia,4,0,FIFA World Cup,France,True
1998-06-24,France,Denmark,2,1,FIFA World Cup,France,True
1998-06-28,France,Paraguay,1,0,FIFA World Cup,France,True
1998-07-03,France,Italy,0,0,FIFA World Cup,France,False
1998-07-08,France,Croatia,2,1,FIFA World Cup,France,True
1998-07-12,France,Brazil,3,0,FIFA World Cup,France,True
1999-06-29,Paraguay,Bolivia,0,0,Copa América,Paraguay,False
1999-07-02,Paraguay,Japan,4,0,Copa América,Paraguay,True
1999-07-05,Paraguay,Peru,1,0,Copa América,Paraguay,True
1999-07-10,Paraguay,Uruguay,1,1,Copa América,Paraguay,False
2000-01-22,Ghana,Cameroon,1,1,African Cup of Nations,Ghana,False
2000-01-23,Nigeria,Tunisia,4,2,African Cup of Nations,Nigeria,True
2000-01-27,Ghana,Togo,2,0,African Cup of Nations,Ghana,True
2000-01-28,Nigeria,Congo,0,0,African Cup of Nations,Nigeria,False
2000-01-31,Ghana,Ivory Coast,0,2,African Cup of Nations,Ghana,False
2000-02-03,Nigeria,Morocco,2,0,African Cup of Nations,Nigeria,True
2000-02-06,Ghana,South Africa,0,1,African Cup of Nations,Ghana,False
2000-02-07,Nigeria,Senegal,2,1,African Cup of Nations,Nigeria,True
2000-02-10,Nigeria,South Africa,2,0,African Cup of Nations,Nigeria,True
2000-02-13,Nigeria,Cameroon,2,2,African Cup of Nations,Nigeria,False
2000-06-10,Belgium,Sweden,2,1,UEFA Euro,Belgium,True
2000-06-11,Netherlands,Czech Republic,1,0,UEFA Euro,Netherlands,True
2000-06-14,Belgium,Italy,0,2,UEFA Euro,Belgium,False
2000-06-16,Netherlands,Denmark,3,0,UEFA Euro,Netherlands,True
2000-06-19,Belgium,Turkey,0,2,UEFA Euro,Belgium,False
2000-06-21,Netherlands,France,3,2,UEFA Euro,Netherlands,True
2000-06-25,Netherlands,Serbia,6,1,UEFA Euro,Netherlands,True
2000-06-29,Netherlands,Italy,0,0,UEFA Euro,Netherlands,False
2000-10-12,Lebanon,Iran,0,4,AFC Asian Cup,Lebanon,False
2000-10-15,Lebanon,Iraq,2,2,AFC Asian Cup,Lebanon,False
2000-10-18,Lebanon,Thailand,1,1,AFC Asian Cup,Lebanon,False
2001-07-11,Colombia,Venezuela,2,0,Copa América,Colombia,True
2001-07-14,Colombia,Ecuador,1,0,Copa América,Colombia,True
2001-07-17,Colombia,Chile,2,0,Copa América,Colombia,True
2001-07-23,Colombia,Peru,3,0,Copa América,Colombia,True
2001-07-26,Colombia,Honduras,2,0,Copa América,Colombia,True
2001-07-29,Colombia,Mexico,1,0,Copa América,Colombia,True
2002-01-19,Mali,Liberia,1,1,African Cup of Nations,Mali,False
2002-01-24,Mali,Nigeria,0,0,African Cup of Nations,Mali,False
2002-01-28,Mali,Algeria,2,0,African Cup of Nations,Mali,True
2002-02-03,Mali,South Africa,2,0,African Cup of Nations,Mali,True
2002-02-07,Mali,Cameroon,0,3,African Cup of Nations,Mali,False
2002-02-09,Mali,Nigeria,0,1,African Cup of Nations,Mali,False
2002-06-04,Japan,Belgium,2,2,FIFA World Cup,Japan,False
2002-06-04,South Korea,Poland,2,0,FIFA World Cup,South Korea,True
2002-06-09,Japan,Russia,1,0,FIFA World Cup,Japan,True
2002-06-10,South Korea,United States,1,1,FIFA World Cup,South Korea,False
2002-06-14,Japan,Tunisia,2,0,FIFA World Cup,Japan,True
2002-06-14,South Korea,Portugal,1,0,FIFA World Cup,South Korea,True
2002-06-18,Japan,Turkey,0,1,FIFA World Cup,Japan,False
2002-06-18,South Korea,Italy,2,1,FIFA World Cup,South Korea,True
2002-06-22,South Korea,Spain,0,0,FIFA World Cup,South Korea,False
2002-06-25,South Korea,Germany,0,1,FIFA World Cup,South Korea,False
2002-06-29,South Korea,Turkey,2,3,FIFA World Cup,South Korea,False
2004-01-24,Tunisia,Rwanda,2,1,African Cup of Nations,Tunisia,True
2004-01-28,Tunisia,DR Congo,3,0,African Cup of Nations,Tunisia,True
2004-02-01,Tunisia,Guinea,1,1,African Cup of Nations,Tunisia,False
2004-02-07,Tunisia,Senegal,1,0,African Cup of Nations,Tunisia,True
2004-02-11,Tunisia,Nigeria,1,1,African Cup of Nations,Tunisia,False
2004-02-14,Tunisia,Morocco,2,1,African Cup of Nations,Tunisia,True
2004-06-12,Portugal,Greece,1,2,UEFA Euro,Portugal,False
2004-06-16,Portugal,Russia,2,0,UEFA Euro,Portugal,True
2004-06-20,Portugal,Spain,1,0,UEFA Euro,Portugal,True
2004-06-24,Portugal,England,2,2,UEFA Euro,Portugal,False
2004-06-30,Portugal,Netherlands,2,1,UEFA Euro,Portugal,True
2004-07-04,Portugal,Greece,0,1,UEFA Euro,Portugal,False
2004-07-06,Peru,Bolivia,2,2,Copa América,Peru,False
2004-07-09,Peru,Venezuela,3,1,Copa América,Peru,True
2004-07-12,Peru,Colombia,2,2,Copa América,Peru,False
2004-07-17,China PR,Bahrain,2,2,AFC Asian Cup,China PR,False
2004-07-17,Peru,Argentina,0,1,Copa América,Peru,False
2004-07-21,China PR,Indonesia,5,0,AFC Asian Cup,China PR,True
2004-07-25,China PR,Qatar,1,0,AFC Asian Cup,China PR,True
2004-07-30,China PR,Iraq,3,0,AFC Asian Cup,China PR,True
2004-08-03,China PR,Iran,1,1,AFC Asian Cup,China PR,False
2004-08-07,China PR,Japan,1,3,AFC Asian Cup,China PR,False
2006-01-20,Egypt,Libya,3,0,African Cup of Nations,Egypt,True
2006-01-24,Egypt,Morocco,0,0,African Cup of Nations,Egypt,False
2006-01-28,Egypt,Ivory Coast,3,1,African Cup of Nations,Egypt,True
2006-02-03,Egypt,DR Congo,4,1,African Cup of Nations,Egypt,True
2006-02-07,Egypt,Senegal,2,1,African Cup of Nations,Egypt,True
2006-02-10,Egypt,Ivory Coast,0,0,African Cup of Nations,Egypt,False
2006-06-09,Germany,Costa Rica,4,2,FIFA World Cup,Germany,True
2006-06-14,Germany,Poland,1,0,FIFA World Cup,Germany,True
2006-06-20,Germany,Ecuador,3,0,FIFA World Cup,Germany,True
2006-06-24,Germany,Sweden,2,0,FIFA World Cup,Germany,True
2006-06-30,Germany,Argentina,1,1,FIFA World Cup,Germany,False
2006-07-04,Germany,Italy,0,2,FIFA World Cup,Germany,False
2006-07-08,Germany,Portugal,3,1,FIFA World Cup,Germany,True
2007-06-26,Venezuela,Bolivia,2,2,Copa América,Venezuela,False
2007-06-30,Venezuela,Peru,2,0,Copa América,Venezuela,True
2007-07-03,Venezuela,Uruguay,0,0,Copa América,Venezuela,False
2007-07-07,Thailand,Iraq,1,1,AFC Asian Cup,Thailand,False
2007-07-07,Venezuela,Uruguay,1,4,Copa América,Venezuela,False
2007-07-08,Vietnam,United Arab Emirates,2,0,AFC Asian Cup,Vietnam,True
2007-07-10,Indonesia,Bahrain,2,1,AFC Asian Cup,Indonesia,True
2007-07-10,Malaysia,China PR,1,5,AFC Asian Cup,Malaysia,False
2007-07-12,Thailand,Oman,2,0,AFC Asian Cup,Thailand,True
2007-07-12,Vietnam,Qatar,1,1,AFC Asian Cup,Vietnam,False
2007-07-14,Indonesia,Saudi Arabia,1,2,AFC Asian Cup,Indonesia,False
2007-07-14,Malaysia,Uzbekistan,0,5,AFC Asian Cup,Malaysia,False
2007-07-16,Thailand,Australia,0,4,AFC Asian Cup,Thailand,False
2007-07-16,Vietnam,Japan,1,4,AFC Asian Cup,Vietnam,False
2007-07-18,Indonesia,South Korea,0,1,AFC Asian Cup,Indonesia,False
2007-07-18,Malaysia,Iran,0,2,AFC Asian Cup,Malaysia,False
2008-01-20,Ghana,Guinea,2,1,African Cup of Nations,Ghana,True
2008-01-24,Ghana,Namibia,1,0,African Cup of Nations,Ghana,True
2008-01-28,Ghana,Morocco,2,0,African Cup of Nations,Ghana,True
2008-02-03,Ghana,Nigeria,2,1,African Cup of Nations,Ghana,True
2008-02-07,Ghana,Cameroon,0,1,African Cup of Nations,Ghana,False
2008-02-09,Ghana,Ivory Coast,4,2,African Cup of Nations,Ghana,True
2008-06-07,Switzerland,Czech Republic,0,1,UEFA Euro,Switzerland,False
2008-06-08,Austria,Croatia,0,1,UEFA Euro,Austria,False
2008-06-11,Switzerland,Turkey,1,2,UEFA Euro,Switzerland,False
2008-06-12,Austria,Poland,1,1,UEFA Euro,Austria,False
2008-06-15,Switzerland,Portugal,2,0,UEFA Euro,Switzerland,True
2008-06-16,Austria,Germany,0,1,UEFA Euro,Austria,False
2010-01-10,Angola,Mali,4,4,African Cup of Nations,Angola,False
2010-01-14,Angola,Malawi,2,0,African Cup of Nations,Angola,True
2010-01-18,Angola,Algeria,0,0,African Cup of Nations,Angola,False
2010-01-24,Angola,Ghana,0,1,African Cup of Nations,Angola,False
2010-06-11,South Africa,Mexico,1,1,FIFA World Cup,South Africa,False
2010-06-16,South Africa,Uruguay,0,3,FIFA World Cup,South Africa,False
2010-06-22,South Africa,France,2,1,FIFA World Cup,South Africa,True
2011-01-07,Qatar,Uzbekistan,0,2,AFC Asian Cup,Qatar,False
2011-01-12,Qatar,China PR,2,0,AFC Asian Cup,Qatar,True
2011-01-16,Qatar,Kuwait,3,0,AFC Asian Cup,Qatar,True
2011-01-21,Qatar,Japan,2,3,AFC Asian Cup,Qatar,False
2011-07-01,Argentina,Bolivia,1,1,Copa América,Argentina,False
2011-07-06,Argentina,Colombia,0,0,Copa América,Argentina,False
2011-07-11,Argentina,Costa Rica,3,0,Copa América,Argentina,True
2011-07-16,Argentina,Uruguay,1,1,Copa América,Argentina,False
2012-01-21,Equatorial Guinea,Libya,1,0,African Cup of Nations,Equatorial Guinea,True
2012-01-23,Gabon,Niger,2,0,African Cup of Nations,Gabon,True
2012-01-25,Equatorial Guinea,Senegal,2,1,African Cup of Nations,Equatorial Guinea,True
2012-01-27,Gabon,Morocco,3,2,African Cup of Nations,Gabon,True
2012-01-29,Equatorial Guinea,Zambia,0,1,African Cup of Nations,Equatorial Guinea,False
2012-01-31,Gabon,Tunisia,1,0,African Cup of Nations,Gabon,True
2012-02-04,Equatorial Guinea,Ivory Coast,0,3,African Cup of Nations,Equatorial Guinea,False
2012-02-05,Gabon,Mali,1,1,African Cup of Nations,Gabon,False
2012-06-08,Poland,Greece,1,1,UEFA Euro,Poland,False
2012-06-11,Ukraine,Sweden,2,1,UEFA Euro,Ukraine,True
2012-06-12,Poland,Russia,1,1,UEFA Euro,Poland,False
2012-06-15,Ukraine,France,0,2,UEFA Euro,Ukraine,False
2012-06-16,Poland,Czech Republic,0,1,UEFA Euro,Poland,False
2012-06-19,Ukraine,England,0,1,UEFA Euro,Ukraine,False
2013-01-19,South Africa,Cape Verde,0,0,African Cup of Nations,South Africa,False
2013-01-23,South Africa,Angola,2,0,African Cup of Nations,South Africa,True
2013-01-27,South Africa,Morocco,2,2,African Cup of Nations,South Africa,False
2013-02-02,South Africa,Mali,1,1,African Cup of Nations,South Africa,False
2014-06-12,Brazil,Croatia,3,1,FIFA World Cup,Brazil,True
2014-06-17,Brazil,Mexico,0,0,FIFA World Cup,Brazil,False
2014-06-23,Brazil,Cameroon,4,1,FIFA World Cup,Brazil,True
2014-06-28,Brazil,Chile,1,1,FIFA World Cup,Brazil,False
2014-07-04,Brazil,Colombia,2,1,FIFA World Cup,Brazil,True
2014-07-08,Brazil,Germany,1,7,FIFA World Cup,Brazil,False
2014-07-12,Brazil,Netherlands,0,3,FIFA World Cup,Brazil,False
2015-01-09,Australia,Kuwait,4,1,AFC Asian Cup,Australia,True
2015-01-13,Australia,Oman,4,0,AFC Asian Cup,Australia,True
2015-01-17,Australia,South Korea,0,1,AFC Asian Cup,Australia,False
2015-01-17,Equatorial Guinea,Congo,1,1,African Cup of Nations,Equatorial Guinea,False
2015-01-21,Equatorial Guinea,Burkina Faso,0,0,African Cup of Nations,Equatorial Guinea,False
2015-01-22,Australia,China PR,2,0,AFC Asian Cup,Australia,True
2015-01-25,Equatorial Guinea,Gabon,2,0,African Cup of Nations,Equatorial Guinea,True
2015-01-27,Australia,United Arab Emirates,2,0,AFC Asian Cup,Australia,True
2015-01-31,Australia,South Korea,2,1,AFC Asian Cup,Australia,True
2015-01-31,Equatorial Guinea,Tunisia,2,1,African Cup of Nations,Equatorial Guinea,True
2015-02-05,Equatorial Guinea,Ghana,0,3,African Cup of Nations,Equatorial Guinea,False
2015-02-07,Equatorial Guinea,DR Congo,0,0,African Cup of Nations,Equatorial Guinea,False
2015-06-11,Chile,Ecuador,2,0,Copa América,Chile,True
2015-06-15,Chile,Mexico,3,3,Copa América,Chile,False
2015-06-19,Chile,Bolivia,5,0,Copa América,Chile,True
2015-06-24,Chile,Uruguay,1,0,Copa América,Chile,True
2015-06-29,Chile,Peru,2,1,Copa América,Chile,True
2015-07-04,Chile,Argentina,0,0,Copa América,Chile,False
2016-06-03,United States,Colombia,0,2,Copa América,United States,False
2016-06-07,United States,Costa Rica,4,0,Copa América,United States,True
2016-06-10,France,Romania,2,1,UEFA Euro,France,True
2016-06-11,United States,Paraguay,1,0,Copa América,United States,True
2016-06-15,France,Albania,2,0,UEFA Euro,France,True
2016-06-16,United States,Ecuador,2,1,Copa América,United States,True
2016-06-19,France,Switzerland,0,0,UEFA Euro,France,False
2016-06-21,United States,Argentina,0,4,Copa América,United States,False
2016-06-25,United States,Colombia,0,1,Copa América,United States,False
2016-06-26,France,Republic of Ireland,2,1,UEFA Euro,France,True
2016-07-03,France,Iceland,5,2,UEFA Euro,France,True
2016-07-07,France,Germany,2,0,UEFA Euro,France,True
2016-07-10,France,Portugal,0,1,UEFA Euro,France,False
2017-01-14,Gabon,Guinea-Bissau,1,1,African Cup of Nations,Gabon,False
2017-01-18,Gabon,Burkina Faso,1,1,African Cup of Nations,Gabon,False
2017-01-22,Gabon,Cameroon,0,0,African Cup of Nations,Gabon,False
2018-06-14,Russia,Saudi Arabia,5,0,FIFA World Cup,Russia,True
2018-06-19,Russia,Egypt,3,1,FIFA World Cup,Russia,True
2018-06-25,Russia,Uruguay,0,3,FIFA World Cup,Russia,False
2018-07-01,Russia,Spain,1,1,FIFA World Cup,Russia,False
2018-07-07,Russia,Croatia,2,2,FIFA World Cup,Russia,False
2019-01-05,United Arab Emirates,Bahrain,1,1,AFC Asian Cup,United Arab Emirates,False
2019-01-10,United Arab Emirates,India,2,0,AFC Asian Cup,United Arab Emirates,True
2019-01-14,United Arab Emirates,Thailand,1,1,AFC Asian Cup,United Arab Emirates,False
2019-01-21,United Arab Emirates,Kyrgyzstan,3,2,AFC Asian Cup,United Arab Emirates,True
2019-01-25,United Arab Emirates,Australia,1,0,AFC Asian Cup,United Arab Emirates,True
2019-01-29,United Arab Emirates,Qatar,0,4,AFC Asian Cup,United Arab Emirates,False
2019-06-14,Brazil,Bolivia,3,0,Copa América,Brazil,True
2019-06-18,Brazil,Venezuela,0,0,Copa América,Brazil,False
2019-06-21,Egypt,Zimbabwe,1,0,African Cup of Nations,Egypt,True
2019-06-22,Brazil,Peru,5,0,Copa América,Brazil,True
2019-06-26,Egypt,DR Congo,2,0,African Cup of Nations,Egypt,True
2019-06-27,Brazil,Paraguay,0,0,Copa América,Brazil,False
2019-06-30,Egypt,Uganda,2,0,African Cup of Nations,Egypt,True
2019-07-02,Brazil,Argentina,2,0,Copa América,Brazil,True
2019-07-06,Egypt,South Africa,0,1,African Cup of Nations,Egypt,False
2019-07-07,Brazil,Peru,3,1,Copa América,Brazil,True
2021-06-11,Italy,Turkey,3,0,UEFA Euro,Italy,True
2021-06-12,Wales,Switzerland,1,1,UEFA Euro,Wales,False
2021-06-12,Denmark,Finland,0,1,UEFA Euro,Denmark,False
2021-06-12,Russia,Belgium,0,3,UEFA Euro,Russia,False
2021-06-13,Netherlands,Ukraine,3,2,UEFA Euro,Netherlands,True
2021-06-13,England,Croatia,1,0,UEFA Euro,England,True
2021-06-13,Brazil,Venezuela,3,0,Copa América,Brazil,True
2021-06-14,Scotland,Czech Republic,0,2,UEFA Euro,Scotland,False
2021-06-14,Spain,Sweden,0,0,UEFA Euro,Spain,False
2021-06-15,Hungary,Portugal,0,3,UEFA Euro,Hungary,False
2021-06-15,Germany,France,0,1,UEFA Euro,Germany,False
2021-06-16,Italy,Switzerland,3,0,UEFA Euro,Italy,True
2021-06-16,Russia,Finland,1,0,UEFA Euro,Russia,True
2021-06-17,Denmark,Belgium,1,2,UEFA Euro,Denmark,False
2021-06-17,Netherlands,Austria,2,0,UEFA Euro,Netherlands,True
2021-06-17,Brazil,Peru,4,0,Copa América,Brazil,True
2021-06-18,England,Scotland,0,0,UEFA Euro,England,False
2021-06-19,Spain,Poland,1,1,UEFA Euro,Spain,False
2021-06-19,Hungary,France,1,1,UEFA Euro,Hungary,False
2021-06-19,Germany,Portugal,4,2,UEFA Euro,Germany,True
2021-06-20,Italy,Wales,1,0,UEFA Euro,Italy,True
2021-06-21,Denmark,Russia,4,1,UEFA Euro,Denmark,True
2021-06-21,Netherlands,North Macedonia,3,0,UEFA Euro,Netherlands,True
2021-06-22,Scotland,Croatia,1,3,UEFA Euro,Scotland,False
2021-06-22,England,Czech Republic,1,0,UEFA Euro,England,True
2021-06-23,Spain,Slovakia,5,0,UEFA Euro,Spain,True
2021-06-23,Germany,Hungary,2,2,UEFA Euro,Germany,False
2021-06-23,Brazil,Colombia,2,1,Copa América,Brazil,True
2021-06-27,Brazil,Ecuador,1,1,Copa América,Brazil,False
2021-06-29,England,Germany,2,0,UEFA Euro,England,True
2021-07-02,Brazil,Chile,1,0,Copa América,Brazil,True
2021-07-05,Brazil,Peru,1,0,Copa América,Brazil,True
2021-07-07,England,Denmark,2,1,UEFA Euro,England,True
2021-07-10,Brazil,Argentina,0,1,Copa América,Brazil,False
2021-07-11,England,Italy,1,1,UEFA Euro,England,False
2022-01-09,Cameroon,Burkina Faso,2,1,African Cup of Nations,Cameroon,True
2022-01-13,Cameroon,Ethiopia,4,1,African Cup of Nations,Cameroon,True
2022-01-17,Cameroon,Cape Verde,1,1,African Cup of Nations,Cameroon,False
2022-01-24,Cameroon,Comoros,2,1,African Cup of Nations,Cameroon,True
2022-01-29,Cameroon,Gambia,2,0,African Cup of Nations,Cameroon,True
2022-02-03,Cameroon,Egypt,0,0,African Cup of Nations,Cameroon,False
2022-02-05,Cameroon,Burkina Faso,3,3,African Cup of Nations,Cameroon,False
2022-11-20,Qatar,Ecuador,0,2,FIFA World Cup,Qatar,False
2022-11-25,Qatar,Senegal,1,3,FIFA World Cup,Qatar,False
2022-11-29,Qatar,Netherlands,0,2,FIFA World Cup,Qatar,False
