date,home_team,away_team,home_score,away_score,tournament,country,victoire
1974-03-09,Egypt,DR Congo,2,3,African Cup of Nations,Egypt,False
1974-03-11,Egypt,Congo,4,0,African Cup of Nations,Egypt,True
1974-06-14,Germany,Chile,1,0,FIFA World Cup,Germany,True
1974-06-18,Germany,Australia,3,0,FIFA World Cup,Germany,True
1974-06-22,Germany,German DR,0,1,FIFA World Cup,Germany,False
1974-06-26,Germany,Yugoslavia,2,0,FIFA World Cup,Germany,True
1974-06-30,Germany,Sweden,4,2,FIFA World Cup,Germany,True
1974-07-03,Germany,Poland,1,0,FIFA World Cup,Germany,True
1974-07-07,Germany,Netherlands,2,1,FIFA World Cup,Germany,True
1975-07-17,Chile,Peru,1,1,Copa América,Chile,False
1975-07-20,Bolivia,Chile,2,1,Copa América,Bolivia,True
1975-07-20,Colombia,Paraguay,1,0,Copa América,Colombia,True
1975-07-24,Ecuador,Paraguay,2,2,Copa América,Ecuador,False
1975-07-27,Bolivia,Peru,0,1,Copa América,Bolivia,False
1975-07-27,Ecuador,Colombia,1,3,Copa América,Ecuador,False
1975-07-30,Paraguay,Colombia,0,1,Copa América,Paraguay,False
1975-07-31,Venezuela,Brazil,0,4,Copa América,Venezuela,False
1975-08-03,Venezuela,Argentina,1,5,Copa América,Venezuela,False
1975-08-06,Brazil,Argentina,2,1,Copa América,Brazil,True
1975-08-07,Colombia,Ecuador,2,0,Copa América,Colombia,True
1975-08-07,Peru,Bolivia,3,1,Copa América,Peru,True
1975-08-10,Argentina,Venezuela,11,0,Copa América,Argentina,True
1975-08-10,Paraguay,Ecuador,3,1,Copa América,Paraguay,True
1975-08-13,Brazil,Venezuela,6,0,Copa América,Brazil,True
1975-08-13,Chile,Bolivia,4,0,Copa América,Chile,True
1975-08-16,Argentina,Brazil,0,1,Copa América,Argentina,False
1975-08-20,Peru,Chile,3,1,Copa América,Peru,True
1975-09-21,Colombia,Uruguay,3,0,Copa América,Colombia,True
1975-09-30,Brazil,Peru,1,3,Copa América,Brazil,False
1975-10-01,Uruguay,Colombia,1,0,Copa América,Uruguay,True
1975-10-04,Peru,Brazil,0,2,Copa América,Peru,False
1975-10-16,Colombia,Peru,1,0,Copa América,Colombia,True
1975-10-22,Peru,Colombia,2,0,Copa América,Peru,True
1976-02-29,Ethiopia,Uganda,2,0,African Cup of Nations,Ethiopia,True
1976-03-03,Ethiopia,Guinea,1,2,African Cup of Nations,Ethiopia,False
1976-03-05,Ethiopia,Egypt,1,1,African Cup of Nations,Ethiopia,False
1976-06-04,Iran,Iraq,2,0,AFC Asian Cup,Iran,True
1976-06-08,Iran,Yemen DPR,8,0,AFC Asian Cup,Iran,True
1976-06-11,Iran,China PR,2,0,AFC Asian Cup,Iran,True
1976-06-13,Iran,Kuwait,1,0,AFC Asian Cup,Iran,True
1976-06-17,Yugoslavia,Germany,2,4,UEFA Euro,Yugoslavia,False
1976-06-19,Yugoslavia,Netherlands,2,3,UEFA Euro,Yugoslavia,False
1978-03-05,Ghana,Zambia,2,1,African Cup of Nations,Ghana,True
1978-03-08,Ghana,Nigeria,1,1,African Cup of Nations,Ghana,False
1978-03-10,Ghana,Burkina Faso,3,0,African Cup of Nations,Ghana,True
1978-03-14,Ghana,Tunisia,1,0,African Cup of Nations,Ghana,True
1978-03-16,Ghana,Uganda,2,0,African Cup of Nations,Ghana,True
1978-06-02,Argentina,Hungary,2,1,FIFA World Cup,Argentina,True
1978-06-06,Argentina,France,2,1,FIFA World Cup,Argentina,True
1978-06-10,Argentina,Italy,0,1,FIFA World Cup,Argentina,False
1978-06-14,Argentina,Poland,2,0,FIFA World Cup,Argentina,True
1978-06-18,Argentina,Brazil,0,0,FIFA World Cup,Argentina,False
1978-06-21,Argentina,Peru,6,0,FIFA World Cup,Argentina,True
1978-06-25,Argentina,Netherlands,3,1,FIFA World Cup,Argentina,True
1979-07-18,Bolivia,Argentina,2,1,Copa América,Bolivia,True
1979-07-26,Bolivia,Brazil,2,1,Copa América,Bolivia,True
1979-08-01,Venezuela,Colombia,0,0,Copa América,Venezuela,False
1979-08-02,Brazil,Argentina,2,1,Copa América,Brazil,True
1979-08-08,Argentina,Bolivia,3,0,Copa América,Argentina,True
1979-08-08,Venezuela,Chile,1,1,Copa América,Venezuela,False
1979-08-15,Colombia,Chile,1,0,Copa América,Colombia,True
1979-08-16,Brazil,Bolivia,2,0,Copa América,Brazil,True
1979-08-22,Colombia,Venezuela,4,0,Copa América,Colombia,True
1979-08-23,Argentina,Brazil,2,2,Copa América,Argentina,False
1979-08-29,Chile,Venezuela,7,0,Copa América,Chile,True
1979-08-29,Ecuador,Paraguay,1,2,Copa América,Ecuador,False
1979-09-05,Chile,Colombia,2,0,Copa América,Chile,True
1979-09-05,Ecuador,Uruguay,2,1,Copa América,Ecuador,True
1979-09-13,Paraguay,Ecuador,2,0,Copa América,Paraguay,True
1979-09-16,Uruguay,Ecuador,2,1,Copa América,Uruguay,True
1979-09-20,Paraguay,Uruguay,0,0,Copa América,Paraguay,False
1979-09-26,Uruguay,Paraguay,2,2,Copa América,Uruguay,False
1979-10-17,Peru,Chile,1,2,Copa América,Peru,False
1979-10-24,Chile,Peru,0,0,Copa América,Chile,False
1979-10-24,Paraguay,Brazil,2,1,Copa América,Paraguay,True
1979-10-31,Brazil,Paraguay,2,2,Copa América,Brazil,False
1979-11-28,Paraguay,Chile,3,0,Copa América,Paraguay,True
1979-12-05,Chile,Paraguay,1,0,Copa América,Chile,True
1980-03-08,Nigeria,Tanzania,3,1,African Cup of Nations,Nigeria,True
1980-03-12,Nigeria,Ivory Coast,0,0,African Cup of Nations,Nigeria,False
1980-03-15,Nigeria,Egypt,1,0,African Cup of Nations,Nigeria,True
1980-03-19,Nigeria,Morocco,1,0,African Cup of Nations,Nigeria,True
1980-03-22,Nigeria,Algeria,3,0,African Cup of Nations,Nigeria,True
1980-06-12,Italy,Spain,0,0,UEFA Euro,Italy,False
1980-06-15,Italy,England,1,0,UEFA Euro,Italy,True
1980-06-18,Italy,Belgium,0,0,UEFA Euro,Italy,False
1980-06-21,Italy,Czechoslovakia,1,1,UEFA Euro,Italy,False
1980-09-15,Kuwait,United Arab Emirates,1,1,AFC Asian Cup,Kuwait,False
1980-09-18,Kuwait,Malaysia,3,1,AFC Asian Cup,Kuwait,True
1980-09-21,Kuwait,South Korea,0,3,AFC Asian Cup,Kuwait,False
1980-09-25,Kuwait,Qatar,4,0,AFC Asian Cup,Kuwait,True
1980-09-28,Kuwait,Iran,2,1,AFC Asian Cup,Kuwait,True
1980-09-30,Kuwait,South Korea,3,0,AFC Asian Cup,Kuwait,True
