home_team,away_team,tournament,difference
Switzerland,Colombia,FIFA World Cup,2
Bolivia,Spain,FIFA World Cup,2
Russia,Cameroon,FIFA World Cup,5
Argentina,Bulgaria,FIFA World Cup,2
Greece,Nigeria,FIFA World Cup,2
Spain,Switzerland,FIFA World Cup,3
Saudi Arabia,Sweden,FIFA World Cup,2
Fiji,New Caledonia,Oceania Nations Cup qualification,2
Netherlands,Republic of Ireland,FIFA World Cup,2
Solomon Islands,Papua New Guinea,Oceania Nations Cup qualification,2
Solomon Islands,Vanuatu,Oceania Nations Cup qualification,4
Solomon Islands,New Caledonia,Oceania Nations Cup qualification,2
Vanuatu,Fiji,Oceania Nations Cup qualification,2
Sweden,Bulgaria,FIFA World Cup,4
Lithuania,Estonia,Baltic Cup,3
Estonia,Latvia,Baltic Cup,2
Iceland,Estonia,Friendly,4
Austria,Russia,Friendly,3
Israel,Croatia,Friendly,4
Peru,Ecuador,Friendly,2
Sweden,Lithuania,Friendly,2
Congo,DR Congo,Friendly,2
Egypt,Ghana,Friendly,2
DR Congo,Congo,Friendly,2
Egypt,Zambia,Friendly,4
North Macedonia,Turkey,Friendly,2
Tanzania,Uganda,African Cup of Nations qualification,4
Angola,Namibia,African Cup of Nations qualification,2
Estonia,Croatia,UEFA Euro qualification,2
Guinea-Bissau,Tunisia,African Cup of Nations qualification,2
Czech Republic,Malta,UEFA Euro qualification,5
Belgium,Armenia,UEFA Euro qualification,2
England,United States,Friendly,2
Faroe Islands,Greece,UEFA Euro qualification,4
Finland,Scotland,UEFA Euro qualification,2
Latvia,Republic of Ireland,UEFA Euro qualification,3
Liechtenstein,Austria,UEFA Euro qualification,4
Luxembourg,Netherlands,UEFA Euro qualification,4
Romania,Azerbaijan,UEFA Euro qualification,3
Ukraine,Lithuania,UEFA Euro qualification,2
Wales,Albania,UEFA Euro qualification,2
Qatar,Oman,Friendly,2
Bangladesh,India,Friendly,2
South Korea,Ukraine,Friendly,2
India,Oman,Friendly,3
Qatar,Yemen,Friendly,2
India,Yemen,Friendly,2
Malaysia,Kuwait,Friendly,2
Zambia,Ghana,Friendly,3
Estonia,Italy,UEFA Euro qualification,2
Croatia,Lithuania,UEFA Euro qualification,2
Latvia,Portugal,UEFA Euro qualification,2
Senegal,Niger,Friendly,2
Belarus,Luxembourg,UEFA Euro qualification,2
Bulgaria,Georgia,UEFA Euro qualification,2
Denmark,Belgium,UEFA Euro qualification,2
Greece,Finland,UEFA Euro qualification,4
Republic of Ireland,Liechtenstein,UEFA Euro qualification,4
North Macedonia,Spain,UEFA Euro qualification,2
Russia,San Marino,UEFA Euro qualification,4
Scotland,Faroe Islands,UEFA Euro qualification,4
Switzerland,Sweden,UEFA Euro qualification,2
Turkey,Iceland,UEFA Euro qualification,5
Egypt,Tanzania,African Cup of Nations qualification,4
Malawi,Zimbabwe,African Cup of Nations qualification,2
Uganda,Ethiopia,African Cup of Nations qualification,3
Guinea,Angola,African Cup of Nations qualification,2
Mozambique,Botswana,African Cup of Nations qualification,2
Niger,Ghana,African Cup of Nations qualification,4
Togo,Senegal,African Cup of Nations qualification,2
Estonia,Finland,Friendly,7
United Arab Emirates,Qatar,Gulf Cup,2
Tunisia,Ivory Coast,Friendly,2
Qatar,Oman,Gulf Cup,2
United Arab Emirates,Kuwait,Gulf Cup,2
Saudi Arabia,Bahrain,Gulf Cup,2
Egypt,Ethiopia,African Cup of Nations qualification,5
Tanzania,Sudan,African Cup of Nations qualification,2
Gabon,Mauritius,African Cup of Nations qualification,3
Guinea-Bissau,Senegal,African Cup of Nations qualification,3
Lesotho,Cameroon,African Cup of Nations qualification,2
Niger,Sierra Leone,African Cup of Nations qualification,2
Ukraine,Estonia,UEFA Euro qualification,3
Azerbaijan,Israel,UEFA Euro qualification,2
Belarus,Norway,UEFA Euro qualification,4
Bulgaria,Moldova,UEFA Euro qualification,3
Chile,Argentina,Friendly,3
Cyprus,Armenia,UEFA Euro qualification,2
Finland,Faroe Islands,UEFA Euro qualification,5
Georgia,Wales,UEFA Euro qualification,5
Greece,San Marino,UEFA Euro qualification,2
Kuwait,Saudi Arabia,Gulf Cup,2
Northern Ireland,Republic of Ireland,UEFA Euro qualification,4
Spain,Denmark,UEFA Euro qualification,3
Sweden,Hungary,UEFA Euro qualification,2
United Arab Emirates,Oman,Gulf Cup,2
Jamaica,United States,Friendly,3
Samoa,American Samoa,Oceania Nations Cup qualification,2
Kenya,Somalia,CECAFA Cup,2
Kenya,Djibouti,CECAFA Cup,3
Samoa,Tahiti,Oceania Nations Cup qualification,7
Tanzania,Somalia,CECAFA Cup,4
Spain,Finland,Friendly,2
Uganda,Seychelles,CECAFA Cup,2
Tanzania,Djibouti,CECAFA Cup,3
Togo,Burkina Faso,Friendly,2
Saudi Arabia,Poland,Friendly,2
Azerbaijan,France,UEFA Euro qualification,2
Finland,San Marino,UEFA Euro qualification,3
Mexico,Hungary,Friendly,4
Moldova,Germany,UEFA Euro qualification,3
Netherlands,Luxembourg,UEFA Euro qualification,5
Wales,Bulgaria,UEFA Euro qualification,3
Belgium,Spain,UEFA Euro qualification,3
North Macedonia,Cyprus,UEFA Euro qualification,3
Saudi Arabia,Costa Rica,Friendly,2
Portugal,Liechtenstein,UEFA Euro qualification,8
Italy,Turkey,Friendly,2
Brazil,Serbia,Friendly,2
Guinea,Sierra Leone,Friendly,2
Tunisia,Egypt,Friendly,2
Japan,Nigeria,Confederations Cup,3
Saudi Arabia,Mexico,Confederations Cup,2
Sierra Leone,Gambia,African Cup of Nations qualification,2
Congo,Niger,African Cup of Nations qualification,2
DR Congo,Lesotho,African Cup of Nations qualification,3
Guinea,Namibia,African Cup of Nations qualification,3
Japan,Argentina,Confederations Cup,4
Saudi Arabia,Denmark,Confederations Cup,2
Mauritius,Zambia,African Cup of Nations qualification,3
Denmark,Argentina,Confederations Cup,2
Ethiopia,Sudan,African Cup of Nations qualification,2
Ghana,Congo,African Cup of Nations qualification,2
Lesotho,Malawi,African Cup of Nations qualification,2
Mozambique,Namibia,African Cup of Nations qualification,2
Zimbabwe,Cameroon,African Cup of Nations qualification,3
Estonia,Norway,Friendly,7
Cyprus,Norway,Friendly,2
Argentina,Bulgaria,Friendly,3
Israel,Luxembourg,Friendly,2
Cyprus,Estonia,Friendly,2
Hong Kong,Japan,Dynasty Cup,3
New Zealand,Singapore,Friendly,3
Brazil,Slovakia,Friendly,5
Morocco,Senegal,Friendly,2
Czech Republic,Finland,Friendly,3
Hungary,Latvia,Friendly,2
Iraq,Uzbekistan,Nehru Cup,2
India,Thailand,Nehru Cup,5
Iraq,Thailand,Nehru Cup,2
Poland,Lithuania,Friendly,3
Sint Maarten,Saint Kitts and Nevis,CFU Caribbean Cup qualification,2
Grenada,Saint Lucia,CFU Caribbean Cup qualification,2
Morocco,Mali,Friendly,3
Croatia,Ukraine,UEFA Euro qualification,4
Italy,Estonia,UEFA Euro qualification,3
Nepal,Bangladesh,SAFF Cup,2
Barbados,Guyana,CFU Caribbean Cup qualification,3
Albania,Moldova,UEFA Euro qualification,3
Austria,Latvia,UEFA Euro qualification,5
Bulgaria,Wales,UEFA Euro qualification,2
Czech Republic,Belarus,UEFA Euro qualification,2
Georgia,Germany,UEFA Euro qualification,2
Luxembourg,Norway,UEFA Euro qualification,2
Nepal,Pakistan,SAFF Cup,2
Netherlands,Malta,UEFA Euro qualification,4
San Marino,Finland,UEFA Euro qualification,2
Slovakia,Azerbaijan,UEFA Euro qualification,3
Slovenia,Estonia,UEFA Euro qualification,3
Ukraine,Italy,UEFA Euro qualification,2
Tahiti,Fiji,Friendly,3
Gabon,Benin,Friendly,7
Guyana,Barbados,CFU Caribbean Cup qualification,4
Uganda,Tanzania,African Cup of Nations qualification,2
Guinea,Botswana,African Cup of Nations qualification,5
Lesotho,Zimbabwe,African Cup of Nations qualification,2
Saint Lucia,Grenada,CFU Caribbean Cup qualification,4
Peru,Chile,Friendly,6
Congo,Sierra Leone,African Cup of Nations qualification,2
Senegal,Togo,African Cup of Nations qualification,4
Angola,Guinea,African Cup of Nations qualification,3
Botswana,Mozambique,African Cup of Nations qualification,3
Mali,Namibia,African Cup of Nations qualification,2
Sudan,Algeria,African Cup of Nations qualification,2
Armenia,Spain,UEFA Euro qualification,2
Austria,Liechtenstein,UEFA Euro qualification,7
Azerbaijan,Romania,UEFA Euro qualification,3
Belgium,Cyprus,UEFA Euro qualification,2
Croatia,Slovenia,UEFA Euro qualification,2
Czech Republic,Netherlands,UEFA Euro qualification,2
Faroe Islands,Finland,UEFA Euro qualification,4
France,Slovakia,UEFA Euro qualification,4
Georgia,Albania,UEFA Euro qualification,2
Greece,Russia,UEFA Euro qualification,3
Ivory Coast,Sierra Leone,Friendly,4
Moldova,Bulgaria,UEFA Euro qualification,3
Norway,Luxembourg,UEFA Euro qualification,5
San Marino,Scotland,UEFA Euro qualification,2
Russia,Faroe Islands,UEFA Euro qualification,3
French Guiana,Martinique,CFU Caribbean Cup qualification,2
French Guiana,Suriname,CFU Caribbean Cup qualification,4
Togo,Benin,Friendly,3
Latvia,Estonia,Baltic Cup,2
Estonia,Lithuania,Baltic Cup,7
Latvia,Lithuania,Baltic Cup,2
Canada,Northern Ireland,Friendly,2
Cuba,Curaçao,CFU Caribbean Cup qualification,3
Dominican Republic,Puerto Rico,CFU Caribbean Cup qualification,2
Dominican Republic,Cuba,CFU Caribbean Cup qualification,3
Faroe Islands,San Marino,UEFA Euro qualification,3
Cuba,Puerto Rico,CFU Caribbean Cup qualification,9
Japan,Ecuador,Kirin Cup,3
Sierra Leone,Niger,African Cup of Nations qualification,4
Cameroon,Lesotho,African Cup of Nations qualification,3
Canada,Turkey,Friendly,2
DR Congo,Zimbabwe,African Cup of Nations qualification,5
Ecuador,Zambia,Korea Cup,3
Ethiopia,Egypt,African Cup of Nations qualification,2
Ivory Coast,Morocco,African Cup of Nations qualification,2
Liberia,Mauritania,African Cup of Nations qualification,2
Mauritius,Gabon,African Cup of Nations qualification,3
Brazil,Japan,Friendly,3
Canada,Turkey,Friendly,3
Denmark,Cyprus,UEFA Euro qualification,4
Faroe Islands,Scotland,UEFA Euro qualification,2
North Macedonia,Belgium,UEFA Euro qualification,5
Norway,Malta,UEFA Euro qualification,2
Poland,Slovakia,UEFA Euro qualification,5
San Marino,Russia,UEFA Euro qualification,7
England,Brazil,Friendly,2
Estonia,Slovenia,UEFA Euro qualification,2
Republic of Ireland,Austria,UEFA Euro qualification,2
United States,Mexico,USA Cup,4
Venezuela,Bolivia,Friendly,2
Germany,Italy,Friendly,2
Mozambique,Zimbabwe,Friendly,2
Uruguay,New Zealand,Friendly,7
Argentina,Australia,Friendly,2
Ivory Coast,Ghana,Friendly,2
Peru,Bolivia,Friendly,3
Iceland,Faroe Islands,Friendly,2
Uruguay,Venezuela,Copa América,3
Mexico,Venezuela,Copa América,2
Brazil,Peru,Copa América,2
Argentina,Chile,Copa América,4
Brazil,Colombia,Copa América,3
Argentina,United States,Copa América,3
Tanzania,Ethiopia,African Cup of Nations qualification,2
Tunisia,Senegal,African Cup of Nations qualification,4
Uganda,Sudan,African Cup of Nations qualification,2
Zambia,Mauritius,African Cup of Nations qualification,2
Malawi,Cameroon,African Cup of Nations qualification,2
Mali,Botswana,African Cup of Nations qualification,4
Isle of Man,Ynys Môn,Island Games,2
Jersey,Isle of Wight,Island Games,2
Åland Islands,Isle of Wight,Island Games,5
Gibraltar,Ynys Môn,Island Games,2
Greenland,Isle of Man,Island Games,4
Jersey,Åland Islands,Island Games,2
Trinidad and Tobago,Cuba,CFU Caribbean Cup,2
Uruguay,Colombia,Copa América,2
Cayman Islands,Antigua and Barbuda,CFU Caribbean Cup,2
French Guiana,Saint Vincent and the Grenadines,CFU Caribbean Cup,2
Saint Lucia,Trinidad and Tobago,CFU Caribbean Cup,5
Åland Islands,Isle of Man,Island Games,3
Guernsey,Ynys Môn,Island Games,2
Colombia,United States,Copa América,3
Cuba,Saint Lucia,CFU Caribbean Cup,2
Saint Vincent and the Grenadines,Antigua and Barbuda,CFU Caribbean Cup,4
Cayman Islands,Trinidad and Tobago,CFU Caribbean Cup,7
Angola,Botswana,African Cup of Nations qualification,4
Cayman Islands,Cuba,CFU Caribbean Cup,3
Congo,Ghana,African Cup of Nations qualification,2
Egypt,Uganda,African Cup of Nations qualification,6
Guinea,Mali,African Cup of Nations qualification,3
Senegal,Liberia,African Cup of Nations qualification,3
Sudan,Ethiopia,African Cup of Nations qualification,3
Canada,Jamaica,Friendly,2
Canada,Trinidad and Tobago,Friendly,2
Japan,Costa Rica,Friendly,3
Japan,Brazil,Friendly,4
Liechtenstein,Portugal,UEFA Euro qualification,7
Armenia,Denmark,UEFA Euro qualification,2
Cook Islands,New Caledonia,South Pacific Games,9
Finland,Russia,UEFA Euro qualification,6
Guam,Vanuatu,South Pacific Games,6
Hungary,Israel,Friendly,2
Iceland,Switzerland,UEFA Euro qualification,2
Solomon Islands,Wallis Islands and Futuna,South Pacific Games,11
Tahiti,Wallis Islands and Futuna,South Pacific Games,13
Tahiti,Solomon Islands,South Pacific Games,2
Fiji,Guam,South Pacific Games,8
Jamaica,Zambia,Friendly,2
New Caledonia,Wallis Islands and Futuna,South Pacific Games,10
Papua New Guinea,Vanuatu,South Pacific Games,3
Cook Islands,Solomon Islands,South Pacific Games,16
Tahiti,New Caledonia,South Pacific Games,2
Fiji,Vanuatu,South Pacific Games,2
Guam,Papua New Guinea,South Pacific Games,9
Tahiti,Cook Islands,South Pacific Games,11
Tahiti,Vanuatu,South Pacific Games,3
Fiji,Vanuatu,South Pacific Games,3
Tahiti,Solomon Islands,South Pacific Games,2
Croatia,Estonia,UEFA Euro qualification,6
Austria,Republic of Ireland,UEFA Euro qualification,2
Belgium,Denmark,UEFA Euro qualification,2
Czech Republic,Norway,UEFA Euro qualification,2
Faroe Islands,Russia,UEFA Euro qualification,3
France,Azerbaijan,UEFA Euro qualification,10
Germany,Georgia,UEFA Euro qualification,3
Lithuania,Ukraine,UEFA Euro qualification,2
San Marino,Greece,UEFA Euro qualification,4
Spain,Cyprus,UEFA Euro qualification,6
Turkey,Hungary,UEFA Euro qualification,2
Greece,Serbia,Friendly,2
Israel,Uruguay,Friendly,2
Jamaica,Costa Rica,Friendly,2
Armenia,Belgium,UEFA Euro qualification,2
Belarus,Czech Republic,UEFA Euro qualification,2
Bulgaria,Albania,UEFA Euro qualification,3
Germany,Moldova,UEFA Euro qualification,5
Brazil,Uruguay,Friendly,2
Chile,Canada,Friendly,2
Israel,Azerbaijan,UEFA Euro qualification,2
Liechtenstein,Northern Ireland,UEFA Euro qualification,4
Lithuania,Estonia,UEFA Euro qualification,5
Malta,Netherlands,UEFA Euro qualification,4
Romania,France,UEFA Euro qualification,2
San Marino,Faroe Islands,UEFA Euro qualification,2
Slovakia,Poland,UEFA Euro qualification,3
Sweden,Scotland,Friendly,2
Switzerland,Hungary,UEFA Euro qualification,3
Mali,Algeria,Friendly,2
Cayman Islands,Jamaica,Friendly,4
Panama,Nicaragua,UNCAF Cup,2
Cayman Islands,Trinidad and Tobago,Friendly,7
Myanmar,Bangladesh,Friendly,4
Myanmar,Sri Lanka,Friendly,2
Nicaragua,Panama,UNCAF Cup,5
Algeria,Mauritania,Friendly,4
Tunisia,Algeria,Friendly,2
Zambia,Jamaica,Friendly,2
Italy,Ukraine,UEFA Euro qualification,2
El Salvador,Serbia,Friendly,3
Malta,Belarus,UEFA Euro qualification,2
Australia,New Zealand,Oceania Nations Cup,3
Czech Republic,Luxembourg,UEFA Euro qualification,3
Denmark,Armenia,UEFA Euro qualification,2
England,Switzerland,Friendly,2
France,Israel,UEFA Euro qualification,2
Germany,Bulgaria,UEFA Euro qualification,2
Greece,Faroe Islands,UEFA Euro qualification,5
Italy,Lithuania,UEFA Euro qualification,4
Morocco,Mali,Friendly,2
Netherlands,Norway,UEFA Euro qualification,3
Northern Ireland,Austria,UEFA Euro qualification,2
Portugal,Republic of Ireland,UEFA Euro qualification,3
Russia,Finland,UEFA Euro qualification,2
Scotland,San Marino,UEFA Euro qualification,5
Slovakia,Romania,UEFA Euro qualification,2
Spain,North Macedonia,UEFA Euro qualification,3
Mexico,Serbia,Friendly,3
Sierra Leone,Guinea,Amílcar Cabral Cup,2
Saint Vincent and the Grenadines,Barbados,Windward Islands Tournament,2
Senegal,Guinea,Amílcar Cabral Cup,3
Sierra Leone,Guinea-Bissau,Amílcar Cabral Cup,2
South Africa,Egypt,Simba Tournament,2
Sierra Leone,Cape Verde,Amílcar Cabral Cup,2
Egypt,Zambia,Simba Tournament,2
South Africa,Zimbabwe,Simba Tournament,2
Kenya,Zanzibar,CECAFA Cup,2
Algeria,Cameroon,Friendly,4
Gabon,Ivory Coast,Friendly,2
El Salvador,Belize,UNCAF Cup,3
Honduras,Panama,UNCAF Cup,2
Tunisia,Burkina Faso,Friendly,3
Albania,Bosnia and Herzegovina,Friendly,2
Tanzania,Somalia,CECAFA Cup,7
Ethiopia,Somalia,CECAFA Cup,5
Honduras,Guatemala,UNCAF Cup,2
Saint Kitts and Nevis,Jamaica,Friendly,3
Honduras,Guatemala,UNCAF Cup,3
Republic of Ireland,Netherlands,UEFA Euro qualification,2
Brazil,Colombia,Friendly,2
Argentina,Venezuela,Friendly,6
Burkina Faso,Gabon,Friendly,3
Zambia,Tunisia,Friendly,2
Saudi Arabia,Kazakhstan,Friendly,3
Morocco,Tunisia,Friendly,2
Canada,Honduras,Gold Cup,2
Mexico,Saint Vincent and the Grenadines,Gold Cup,5
Brazil,Canada,Gold Cup,3
South Africa,Cameroon,African Cup of Nations,3
Honduras,Brazil,Gold Cup,5
Ivory Coast,Ghana,African Cup of Nations,2
Guatemala,Saint Vincent and the Grenadines,Gold Cup,3
United States,El Salvador,Gold Cup,2
Armenia,Morocco,Friendly,6
Algeria,Sierra Leone,African Cup of Nations,2
DR Congo,Gabon,African Cup of Nations,2
Burkina Faso,Zambia,African Cup of Nations,4
Mexico,Brazil,Gold Cup,2
United States,Guatemala,Gold Cup,3
Saudi Arabia,Kyrgyzstan,AFC Asian Cup qualification,3
Sierra Leone,Zambia,African Cup of Nations,4
Liberia,DR Congo,African Cup of Nations,2
Mozambique,Ghana,African Cup of Nations,2
Tunisia,Ivory Coast,African Cup of Nations,2
Zambia,Egypt,African Cup of Nations,2
Saudi Arabia,Yemen,AFC Asian Cup qualification,4
China PR,Macau,AFC Asian Cup qualification,6
Hong Kong,Philippines,AFC Asian Cup qualification,8
Saudi Arabia,Kyrgyzstan,AFC Asian Cup qualification,2
South Africa,Ghana,African Cup of Nations,3
Zambia,Tunisia,African Cup of Nations,2
Hong Kong,Macau,AFC Asian Cup qualification,3
Philippines,China PR,AFC Asian Cup qualification,7
Kyrgyzstan,Yemen,AFC Asian Cup qualification,2
South Africa,Tunisia,African Cup of Nations,2
Hong Kong,China PR,AFC Asian Cup qualification,2
Macau,Philippines,AFC Asian Cup qualification,4
Canary Islands,Venezuela,Friendly,4
Iceland,Slovenia,Malta International Tournament,6
Malta,Russia,Malta International Tournament,2
Morocco,Luxembourg,Friendly,2
Iceland,Russia,Malta International Tournament,3
Australia,Japan,Friendly,3
Malta,Iceland,Malta International Tournament,3
Peru,Bolivia,Friendly,2
Russia,Slovenia,Malta International Tournament,2
Australia,Japan,Friendly,3
Bolivia,Paraguay,Friendly,3
Chile,Peru,Friendly,4
Oman,Ecuador,Friendly,2
Thailand,Finland,King's Cup,3
Japan,Poland,Lunar New Year Cup,5
France,Greece,Friendly,2
Israel,Lithuania,Friendly,2
Kuwait,Ecuador,Friendly,3
Thailand,Indonesia,Friendly,3
Australia,Sweden,Friendly,2
Azerbaijan,Faroe Islands,Friendly,3
Oman,Kuwait,Friendly,3
Jamaica,Guatemala,Friendly,2
Indonesia,India,AFC Asian Cup qualification,6
Syria,Kuwait,Friendly,2
Malaysia,India,AFC Asian Cup qualification,3
Trinidad and Tobago,Haiti,Friendly,2
Bolivia,Peru,Friendly,2
Croatia,South Korea,Friendly,3
Egypt,Morocco,United Arab Emirates Friendship Tournament,2
Colombia,Trinidad and Tobago,Friendly,3
Kuwait,Turkmenistan,AFC Asian Cup qualification,2
Croatia,Israel,Friendly,2
Czech Republic,Turkey,Friendly,3
Belgium,France,Friendly,2
Brazil,Ghana,Friendly,6
Cyprus,Georgia,Friendly,2
Germany,Denmark,Friendly,2
Guatemala,Venezuela,Friendly,3
Republic of Ireland,Russia,Friendly,2
Northern Ireland,Norway,Friendly,2
Slovakia,Belarus,Friendly,4
Saint Kitts and Nevis,Anguilla,CFU Caribbean Cup qualification,8
Colombia,Bolivia,Friendly,3
Sint Maarten,Anguilla,CFU Caribbean Cup qualification,4
Antigua and Barbuda,Dominica,FIFA World Cup qualification,2
Aruba,Dominican Republic,FIFA World Cup qualification,2
Saint Kitts and Nevis,Sint Maarten,CFU Caribbean Cup qualification,3
Grenada,Guyana,FIFA World Cup qualification,6
Croatia,Hungary,Friendly,3
Ethiopia,Ghana,Friendly,2
Paraguay,Bosnia and Herzegovina,Friendly,3
Qatar,Kuwait,Friendly,2
Argentina,Bolivia,FIFA World Cup qualification,2
Czech Republic,Republic of Ireland,Friendly,2
Denmark,Scotland,Friendly,2
Ecuador,Peru,FIFA World Cup qualification,3
Estonia,Iceland,Friendly,3
Greece,Slovenia,FIFA World Cup qualification,2
Hungary,Austria,Friendly,2
Jamaica,Barbados,CFU Caribbean Cup qualification,2
North Macedonia,Liechtenstein,FIFA World Cup qualification,3
Romania,Georgia,Friendly,5
Serbia,Faroe Islands,FIFA World Cup qualification,2
Switzerland,Wales,Friendly,2
Venezuela,Uruguay,FIFA World Cup qualification,2
Cayman Islands,Cuba,CFU Caribbean Cup qualification,4
Haiti,Dominican Republic,CFU Caribbean Cup qualification,6
Barbados,Jamaica,CFU Caribbean Cup qualification,2
DR Congo,Congo,Friendly,2
Saint Kitts and Nevis,Saint Lucia,FIFA World Cup qualification,4
Tajikistan,Uzbekistan,AFC Asian Cup qualification,4
Saint Vincent and the Grenadines,Puerto Rico,FIFA World Cup qualification,7
Haiti,Grenada,FIFA World Cup qualification,5
Lebanon,Turkmenistan,AFC Asian Cup qualification,2
Cayman Islands,Cuba,FIFA World Cup qualification,5
South Korea,Sweden,Friendly,2
Iran,Qatar,Friendly,2
England,Hungary,Friendly,3
Mexico,Slovakia,Friendly,3
China PR,England,Friendly,3
Kuwait,Syria,Friendly,2
Cuba,Saint Vincent and the Grenadines,CFU Caribbean Cup,2
Qatar,Russia,Friendly,3
Chile,Bolivia,Friendly,2
Ghana,Egypt,Friendly,2
Jamaica,Saint Kitts and Nevis,CFU Caribbean Cup,3
Trinidad and Tobago,Suriname,CFU Caribbean Cup,3
Tunisia,Senegal,Friendly,2
Bulgaria,North Macedonia,Friendly,3
Suriname,Jamaica,CFU Caribbean Cup,2
Trinidad and Tobago,Saint Kitts and Nevis,CFU Caribbean Cup,4
France,Finland,Friendly,2
Netherlands,China PR,Friendly,2
Hungary,Italy,Friendly,2
Namibia,Mozambique,FIFA World Cup qualification,2
Romania,Moldova,Friendly,2
Sudan,Zambia,FIFA World Cup qualification,2
Sweden,Belarus,FIFA World Cup qualification,4
Uganda,Angola,FIFA World Cup qualification,2
Bulgaria,United Arab Emirates,Friendly,3
Congo,Ivory Coast,FIFA World Cup qualification,2
Ecuador,Argentina,FIFA World Cup qualification,2
Kenya,Algeria,FIFA World Cup qualification,2
Mauritius,DR Congo,FIFA World Cup qualification,4
Norway,Azerbaijan,FIFA World Cup qualification,5
Russia,Poland,Friendly,2
Rwanda,Tunisia,FIFA World Cup qualification,2
San Marino,Wales,FIFA World Cup qualification,5
Serbia,Malta,FIFA World Cup qualification,6
Uruguay,Paraguay,FIFA World Cup qualification,2
Cuba,Suriname,CFU Caribbean Cup,4
Oman,Bahrain,Friendly,3
Germany,Liechtenstein,Friendly,8
Netherlands,Republic of Ireland,Friendly,2
France,Armenia,Friendly,2
Trinidad and Tobago,Cuba,CFU Caribbean Cup,2
Germany,Czech Republic,UEFA Euro,2
Lebanon,Kuwait,AFC Asian Cup qualification,2
Nigeria,Togo,Friendly,2
Panama,Belize,FIFA World Cup qualification,3
Iran,Nepal,AFC Asian Cup qualification,8
Sri Lanka,Oman,AFC Asian Cup qualification,3
Iran,Sri Lanka,AFC Asian Cup qualification,7
Nepal,Oman,AFC Asian Cup qualification,7
United States,Bolivia,USA Cup,2
Barbados,Trinidad and Tobago,Friendly,4
Switzerland,Netherlands,UEFA Euro,2
Iran,Oman,AFC Asian Cup qualification,2
Sri Lanka,Nepal,AFC Asian Cup qualification,2
Bolivia,Republic of Ireland,USA Cup,3
Dominican Republic,Trinidad and Tobago,FIFA World Cup qualification,3
England,Scotland,UEFA Euro,2
South Africa,Malawi,FIFA World Cup qualification,3
Angola,Uganda,FIFA World Cup qualification,2
Burkina Faso,Mauritania,FIFA World Cup qualification,2
DR Congo,Mauritius,FIFA World Cup qualification,2
Croatia,Denmark,UEFA Euro,3
Gabon,Eswatini,FIFA World Cup qualification,2
Guinea,Guinea-Bissau,FIFA World Cup qualification,2
Russia,Germany,UEFA Euro,3
Tunisia,Rwanda,FIFA World Cup qualification,2
Zambia,Sudan,FIFA World Cup qualification,3
Sri Lanka,Iran,AFC Asian Cup qualification,4
England,Netherlands,UEFA Euro,3
France,Bulgaria,UEFA Euro,2
Croatia,Portugal,UEFA Euro,3
Nepal,Iran,AFC Asian Cup qualification,4
Oman,Sri Lanka,AFC Asian Cup qualification,10
Turkey,Denmark,UEFA Euro,3
Uzbekistan,Tajikistan,AFC Asian Cup qualification,5
Peru,Armenia,Friendly,4
Nepal,Sri Lanka,AFC Asian Cup qualification,2
Syria,Kazakhstan,AFC Asian Cup qualification,2
Cuba,Haiti,FIFA World Cup qualification,5
Liberia,Gambia,FIFA World Cup qualification,4
Trinidad and Tobago,Dominican Republic,FIFA World Cup qualification,8
Myanmar,Singapore,AFC Asian Cup qualification,4
Thailand,Maldives,AFC Asian Cup qualification,8
China PR,New Zealand,Friendly,2
Maldives,Singapore,AFC Asian Cup qualification,2
Thailand,Myanmar,AFC Asian Cup qualification,4
Ecuador,Armenia,Friendly,3
Jamaica,Barbados,FIFA World Cup qualification,2
Myanmar,Maldives,AFC Asian Cup qualification,2
Maldives,Thailand,AFC Asian Cup qualification,8
Qatar,Kazakhstan,AFC Asian Cup qualification,3
Chile,Ecuador,FIFA World Cup qualification,3
Bolivia,Venezuela,FIFA World Cup qualification,5
Myanmar,Thailand,AFC Asian Cup qualification,6
Colombia,Uruguay,FIFA World Cup qualification,2
Singapore,Maldives,AFC Asian Cup qualification,3
Myanmar,Maldives,AFC Asian Cup qualification,3
Syria,Qatar,AFC Asian Cup qualification,2
Panama,Venezuela,Friendly,2
Paraguay,Bolivia,Friendly,2
Vietnam,Taiwan,AFC Asian Cup qualification,3
South Korea,Guam,AFC Asian Cup qualification,9
Vietnam,Guam,AFC Asian Cup qualification,9
Benin,Mauritania,African Cup of Nations qualification,3
China PR,Paraguay,Friendly,2
South Korea,Taiwan,AFC Asian Cup qualification,4
Jordan,Pakistan,AFC Asian Cup qualification,4
Iraq,Pakistan,AFC Asian Cup qualification,3
Vietnam,South Korea,AFC Asian Cup qualification,4
Ukraine,Lithuania,Friendly,3
Hungary,United Arab Emirates,Friendly,2
Peru,Costa Rica,Friendly,3
Romania,Israel,Friendly,2
Turkey,Moldova,Friendly,2
Togo,Benin,Friendly,2
Panama,Jamaica,Friendly,2
Honduras,Cuba,Friendly,4
Japan,Uruguay,Friendly,2
Namibia,Botswana,African Cup of Nations qualification,6
Morocco,DR Congo,Friendly,7
Canada,Panama,FIFA World Cup qualification,2
United States,El Salvador,Friendly,2
France,Mexico,Friendly,2
Liechtenstein,Republic of Ireland,FIFA World Cup qualification,5
