home_team,away_team,tournament,difference
Paraguay,Argentina,Copa Chevallier Boutell,2
France,England,Friendly,2
Sweden,Poland,Friendly,4
Switzerland,Hungary,Friendly,2
Austria,Romania,Friendly,3
Austria,Bulgaria,Friendly,6
Argentina,Uruguay,Copa Newton,4
Uruguay,Argentina,Copa Lipton,2
Egypt,Lithuania,Friendly,10
Norway,Germany,Friendly,2
Finland,Turkey,Friendly,2
Estonia,Turkey,Friendly,3
Austria,Egypt,Friendly,2
Latvia,Turkey,Friendly,2
Australia,Canada,Friendly,3
Poland,Turkey,Friendly,2
Sweden,Egypt,Friendly,5
Australia,Canada,Friendly,3
Sweden,Estonia,Friendly,3
Finland,Sweden,Friendly,2
Latvia,Finland,Friendly,2
Finland,Norway,Friendly,2
Czechoslovakia,Romania,Friendly,3
Germany,Sweden,Friendly,3
Hungary,Poland,Friendly,4
Finland,Estonia,Friendly,4
Norway,Denmark,Nordic Championship,2
Hungary,Germany,Friendly,3
Sweden,Norway,Nordic Championship,5
Yugoslavia,Czechoslovakia,Friendly,2
Latvia,Estonia,Friendly,2
Uruguay,Chile,Copa América,5
England,Northern Ireland,British Home Championship,2
Argentina,Chile,Copa América,2
Uruguay,Paraguay,Copa América,2
Chile,Paraguay,Copa América,2
Belgium,France,Friendly,3
Russia,Turkey,Friendly,3
England,Belgium,Friendly,4
Scotland,Wales,British Home Championship,2
Northern Ireland,Scotland,British Home Championship,3
Austria,Switzerland,Friendly,2
Italy,France,Friendly,7
Hungary,Switzerland,Friendly,5
Haiti,Jamaica,Friendly,3
Scotland,England,British Home Championship,2
France,Austria,Friendly,4
Switzerland,Netherlands,Friendly,3
Netherlands,Belgium,Friendly,5
Austria,Hungary,Friendly,2
China PR,Japan,Friendly,2
Hungary,Belgium,Friendly,2
Philippines,China PR,Friendly,4
Czechoslovakia,Austria,Friendly,2
Bulgaria,Romania,Friendly,2
Switzerland,Spain,Friendly,3
Sweden,Finland,Friendly,4
Sweden,Denmark,Nordic Championship,2
Denmark,Norway,Nordic Championship,4
Finland,Germany,Friendly,2
Estonia,Finland,Friendly,2
Sweden,Austria,Friendly,2
Sweden,Hungary,Friendly,4
Poland,Hungary,Friendly,2
Finland,Latvia,Friendly,2
Norway,Sweden,Nordic Championship,4
Czechoslovakia,Hungary,Friendly,2
Netherlands,Denmark,Friendly,2
Switzerland,Germany,Friendly,4
Czechoslovakia,Yugoslavia,Friendly,7
Wales,Scotland,British Home Championship,3
Poland,Sweden,Friendly,4
Switzerland,Austria,Friendly,2
United States,Canada,Friendly,5
Argentina,Paraguay,Copa América,2
Brazil,Paraguay,Copa América,3
Argentina,Brazil,Copa América,3
Brazil,Paraguay,Copa América,2
Argentina,Paraguay,Copa América,2
Italy,Czechoslovakia,Friendly,2
Northern Ireland,Wales,British Home Championship,3
Belgium,Hungary,Friendly,2
Scotland,Northern Ireland,British Home Championship,4
England,Wales,British Home Championship,2
Jamaica,Curaçao,Friendly,2
Austria,Czechoslovakia,Friendly,2
Italy,Republic of Ireland,Friendly,3
