country,tournament,goals
Abkhazia,CONIFA European Football Cup,11
Abkhazia,CONIFA World Football Cup,36
Afghanistan,AFC Asian Cup qualification,19
Afghanistan,AFC Challenge Cup,7
Afghanistan,AFC Challenge Cup qualification,10
Afghanistan,CAFA Nations Cup,1
Afghanistan,FIFA World Cup qualification,18
Afghanistan,Merdeka Tournament,2
Afghanistan,SAFF Cup,46
Albania,Balkan Cup,9
Albania,FIFA World Cup qualification,84
Albania,Malta International Tournament,8
Albania,Prime Minister's Cup,1
Albania,UEFA Euro,1
Albania,UEFA Euro qualification,100
Albania,UEFA Nations League,13
Alderney,Inter Games Football Tournament,5
Alderney,Island Games,10
Algeria,African Cup of Nations,94
Algeria,African Cup of Nations qualification,195
Algeria,African Nations Championship,2
Algeria,African Nations Championship qualification,0
Algeria,Arab Cup,13
Algeria,Arab Cup qualification,3
Algeria,Dakar Tournament,2
Algeria,FIFA World Cup,13
Algeria,FIFA World Cup qualification,158
Algeria,Indonesia Tournament,5
Algeria,Kirin Cup,1
Algeria,Kuneitra Cup,10
Algeria,Malta International Tournament,3
Algeria,Palestine Cup,32
American Samoa,FIFA World Cup qualification,10
American Samoa,Oceania Nations Cup qualification,9
American Samoa,Pacific Games,9
American Samoa,South Pacific Games,8
Andorra,FIFA World Cup qualification,22
Andorra,Malta International Tournament,1
Andorra,UEFA Euro qualification,17
Andorra,UEFA Nations League,9
Angola,African Cup of Nations,30
Angola,African Cup of Nations qualification,113
Angola,African Nations Championship,20
Angola,African Nations Championship qualification,2
Angola,COSAFA Cup,38
Angola,COSAFA Cup qualification,3
Angola,FIFA World Cup,1
Angola,FIFA World Cup qualification,89
Anguilla,CFU Caribbean Cup qualification,22
Anguilla,CONCACAF Nations League,4
Anguilla,CONCACAF Nations League qualification,1
Anguilla,FIFA World Cup qualification,2
Antigua and Barbuda,CFU Caribbean Cup,32
Antigua and Barbuda,CFU Caribbean Cup qualification,87
Antigua and Barbuda,CONCACAF Championship qualification,6
Antigua and Barbuda,CONCACAF Nations League,22
Antigua and Barbuda,CONCACAF Nations League qualification,10
Antigua and Barbuda,FIFA World Cup qualification,64
Antigua and Barbuda,Gold Cup qualification,1
Arameans Suryoye,CONIFA World Football Cup,9
Arameans Suryoye,Viva World Cup,7
Argentina,Atlantic Cup,8
Argentina,Brazil Independence Cup,9
Argentina,CONMEBOL–UEFA Cup of Champions,4
Argentina,Confederations Cup,22
Argentina,Copa América,474
Argentina,Copa Carlos Dittborn,33
Argentina,Copa Chevallier Boutell,68
Argentina,Copa Félix Bogado,7
Argentina,Copa Lipton,39
Argentina,Copa Newton,50
Argentina,Copa Premio Honor Argentino,21
Argentina,Copa Premio Honor Uruguayo,16
Argentina,Copa Ramón Castilla,14
Argentina,Copa Roca,51
Argentina,FIFA 75th Anniversary Cup,0
Argentina,FIFA World Cup,152
Argentina,FIFA World Cup qualification,270
Argentina,Kirin Cup,6
Argentina,Mundialito,3
Argentina,Nehru Cup,2
Argentina,Pan American Championship,18
Argentina,Real Madrid 75th Anniversary Cup,1
Argentina,Superclásico de las Américas,5
Armenia,Cyprus International Tournament,10
Armenia,FIFA World Cup qualification,61
Armenia,Malta International Tournament,3
Armenia,UEFA Euro qualification,74
Armenia,UEFA Nations League,27
Artsakh,CONIFA European Football Cup,9
Artsakh,CONIFA World Football Cup,19
Aruba,ABCS Tournament,10
Aruba,CCCF Championship,8
Aruba,CFU Caribbean Cup qualification,32
Aruba,CONCACAF Nations League,24
Aruba,CONCACAF Nations League qualification,5
Aruba,FIFA World Cup qualification,26
Aruba,Gold Cup qualification,0
Australia,AFC Asian Cup,40
Australia,AFC Asian Cup qualification,13
Australia,Confederations Cup,17
Australia,EAFF Championship,24
Australia,FIFA World Cup,17
Australia,FIFA World Cup qualification,394
Australia,Kirin Cup,1
Australia,Korea Cup,2
Australia,Merlion Cup,12
Australia,Oceania Nations Cup,142
Australia,Simba Tournament,6
Australia,United Arab Emirates Friendship Tournament,3
Australia,Vietnam Independence Cup,15
Austria,Central European International Cup,102
Austria,Cyprus International Tournament,2
Austria,FIFA World Cup,43
Austria,FIFA World Cup qualification,232
Austria,Tournoi de France,2
Austria,UEFA Euro,7
Austria,UEFA Euro qualification,220
Austria,UEFA Nations League,18
Aymara,CONIFA South America Football Cup,1
Azerbaijan,FIFA World Cup qualification,34
Azerbaijan,Malta International Tournament,0
Azerbaijan,UEFA Euro qualification,48
Azerbaijan,UEFA Nations League,16
Bahamas,CFU Caribbean Cup qualification,11
Bahamas,CONCACAF Nations League,19
Bahamas,CONCACAF Nations League qualification,1
Bahamas,FIFA World Cup qualification,20
Bahamas,Gold Cup qualification,0
Bahrain,AFC Asian Cup,29
Bahrain,AFC Asian Cup qualification,74
Bahrain,Arab Cup,21
Bahrain,Arab Cup qualification,2
Bahrain,FIFA World Cup qualification,122
Bahrain,Gulf Cup,131
Bahrain,Korea Cup,10
Bahrain,Merdeka Tournament,6
Bahrain,Millennium Cup,0
Bahrain,Prime Minister's Cup,15
Bahrain,WAFF Championship,5
Bangladesh,AFC Asian Cup,2
Bangladesh,AFC Asian Cup qualification,24
Bangladesh,AFC Challenge Cup,10
Bangladesh,AFC Challenge Cup qualification,14
Bangladesh,FIFA World Cup qualification,41
Bangladesh,King's Cup,0
Bangladesh,Korea Cup,1
Bangladesh,Mahinda Rajapaksa Cup,4
Bangladesh,Merdeka Tournament,12
Bangladesh,Millennium Cup,1
Bangladesh,Nehru Cup,1
Bangladesh,SAFF Cup,52
Bangladesh,Three Nations Cup,1
Barawa,CONIFA World Football Cup,7
Barawa,World Unity Cup,2
Barbados,CFU Caribbean Cup,16
Barbados,CFU Caribbean Cup qualification,97
Barbados,CONCACAF Championship qualification,3
Barbados,CONCACAF Nations League,24
Barbados,CONCACAF Nations League qualification,3
Barbados,FIFA World Cup qualification,35
Barbados,Gold Cup qualification,4
Barbados,SKN Football Festival,0
Barbados,Windward Islands Tournament,4
Belarus,Cyprus International Tournament,8
Belarus,FIFA World Cup qualification,68
Belarus,King's Cup,0
Belarus,Malta International Tournament,4
Belarus,UEFA Euro qualification,62
Belarus,UEFA Nations League,23
Belgium,Cyprus International Tournament,1
Belgium,FIFA World Cup,69
Belgium,FIFA World Cup qualification,302
Belgium,King Hassan II Tournament,0
Belgium,Kirin Cup,2
Belgium,UEFA Euro,31
Belgium,UEFA Euro qualification,232
Belgium,UEFA Nations League,39
Belgium,Évence Coppée Trophy,3
Belize,CONCACAF Nations League,13
Belize,CONCACAF Nations League qualification,6
Belize,FIFA World Cup qualification,37
Belize,Gold Cup,1
Belize,UNCAF Cup,19
Benin,African Cup of Nations,7
Benin,African Cup of Nations qualification,86
Benin,African Nations Championship,2
Benin,African Nations Championship qualification,0
Benin,Amílcar Cabral Cup,4
Benin,FIFA World Cup qualification,52
Benin,TIFOCO Tournament,1
Benin,Tournament Burkina Faso,1
Benin,West African Cup,10
Bermuda,CFU Caribbean Cup qualification,55
Bermuda,CONCACAF Championship qualification,2
Bermuda,CONCACAF Nations League,17
Bermuda,CONCACAF Nations League qualification,17
Bermuda,FIFA World Cup qualification,83
Bermuda,Gold Cup,4
Bermuda,Gold Cup qualification,9
Bermuda,Island Games,23
Bhutan,AFC Asian Cup qualification,13
Bhutan,AFC Challenge Cup,0
Bhutan,AFC Challenge Cup qualification,2
Bhutan,FIFA World Cup qualification,11
Bhutan,SAFF Cup,15
Bhutan,The Other Final,4
Bhutan,Tri Nation Tournament,2
Biafra,CONIFA Africa Football Cup,2
Bolivia,Bolivarian Games,10
Bolivia,Brazil Independence Cup,4
Bolivia,Confederations Cup,2
Bolivia,Copa América,108
Bolivia,Copa Paz del Chaco,25
Bolivia,FIFA World Cup,1
Bolivia,FIFA World Cup qualification,204
Bolivia,Kirin Challenge Cup,1
Bolivia,Kirin Cup,0
Bolivia,Nehru Cup,2
Bolivia,USA Cup,4
Bonaire,ABCS Tournament,15
Bonaire,CFU Caribbean Cup qualification,6
Bonaire,CONCACAF Nations League,28
Bonaire,CONCACAF Nations League qualification,3
Bosnia and Herzegovina,Dunhill Cup,9
Bosnia and Herzegovina,FIFA World Cup,4
Bosnia and Herzegovina,FIFA World Cup qualification,121
Bosnia and Herzegovina,Kirin Cup,4
Bosnia and Herzegovina,Merdeka Tournament,5
Bosnia and Herzegovina,Millennium Cup,4
Bosnia and Herzegovina,UEFA Euro qualification,104
Bosnia and Herzegovina,UEFA Nations League,16
Botswana,African Cup of Nations,2
Botswana,African Cup of Nations qualification,29
Botswana,African Nations Championship,0
Botswana,African Nations Championship qualification,7
Botswana,COSAFA Cup,43
Botswana,COSAFA Cup qualification,3
Botswana,FIFA World Cup qualification,36
Brazil,Atlantic Cup,9
Brazil,Brazil Independence Cup,5
Brazil,Confederations Cup,78
Brazil,Copa América,430
Brazil,Copa Bernardo O'Higgins,17
Brazil,Copa Oswaldo Cruz,46
Brazil,Copa Rio Branco,36
Brazil,Copa Roca,49
Brazil,FIFA World Cup,237
Brazil,FIFA World Cup qualification,287
Brazil,Gold Cup,22
Brazil,King's Cup,7
Brazil,Lunar New Year Cup,7
Brazil,Mundialito,6
Brazil,Pan American Championship,38
Brazil,Rous Cup,3
Brazil,Superclásico de las Américas,8
Brazil,Tournoi de France,5
Brazil,USA Cup,6
British Virgin Islands,CFU Caribbean Cup qualification,31
British Virgin Islands,CONCACAF Nations League,15
British Virgin Islands,CONCACAF Nations League qualification,3
British Virgin Islands,FIFA World Cup qualification,7
British Virgin Islands,Gold Cup qualification,2
Brunei,AFC Asian Cup qualification,2
Brunei,AFC Challenge Cup,9
Brunei,AFC Challenge Cup qualification,2
Brunei,AFF Championship,27
Brunei,AFF Championship qualification,8
Brunei,FIFA World Cup qualification,5
Brunei,King's Cup,0
Brunei,Merlion Cup,1
Bulgaria,Balkan Cup,80
Bulgaria,Cyprus International Tournament,5
Bulgaria,FIFA World Cup,22
Bulgaria,FIFA World Cup qualification,215
Bulgaria,Kirin Challenge Cup,2
Bulgaria,Kirin Cup,5
Bulgaria,Lunar New Year Cup,1
Bulgaria,UEFA Euro,4
Bulgaria,UEFA Euro qualification,171
Bulgaria,UEFA Nations League,19
Burkina Faso,African Cup of Nations,47
Burkina Faso,African Cup of Nations qualification,83
Burkina Faso,African Nations Championship,10
Burkina Faso,African Nations Championship qualification,1
Burkina Faso,Afro-Asian Games,1
Burkina Faso,FIFA World Cup qualification,103
Burkina Faso,King's Cup,3
Burkina Faso,Tournament Burkina Faso,8
Burkina Faso,West African Cup,15
Burundi,African Cup of Nations,0
Burundi,African Cup of Nations qualification,52
Burundi,African Nations Championship,8
Burundi,African Nations Championship qualification,4
Burundi,CECAFA Cup,74
Burundi,FIFA World Cup qualification,23
Burundi,Nile Basin Tournament,2
Cambodia,AFC Asian Cup,8
Cambodia,AFC Asian Cup qualification,27
Cambodia,AFC Challenge Cup,4
Cambodia,AFC Challenge Cup qualification,13
Cambodia,AFF Championship,60
Cambodia,FIFA World Cup qualification,22
Cambodia,GaNEFo,10
Cambodia,Indonesia Tournament,15
Cambodia,King's Cup,12
Cambodia,Korea Cup,12
Cambodia,Merdeka Tournament,14
Cambodia,Nehru Cup,5
Cambodia,Vietnam Independence Cup,5
Cameroon,African Cup of Nations,137
Cameroon,African Cup of Nations qualification,144
Cameroon,African Nations Championship,12
Cameroon,Confederations Cup,7
Cameroon,Dakar Tournament,1
Cameroon,FIFA World Cup,22
Cameroon,FIFA World Cup qualification,162
Cameroon,Nehru Cup,18
Cameroon,Simba Tournament,2
Cameroon,UDEAC Cup,42
Canada,CONCACAF Championship,24
Canada,CONCACAF Championship qualification,18
Canada,CONCACAF Nations League,27
Canada,CONCACAF Nations League qualification,18
Canada,Confederations Cup,0
Canada,FIFA World Cup,2
Canada,FIFA World Cup qualification,173
Canada,Gold Cup,82
Canada,Gold Cup qualification,4
Canada,Korea Cup,3
Canada,Matthews Cup,1
Canada,Merlion Cup,2
Canada,NAFU Championship,2
Cape Verde,African Cup of Nations,6
Cape Verde,African Cup of Nations qualification,58
Cape Verde,African Nations Championship qualification,1
Cape Verde,Amílcar Cabral Cup,45
Cape Verde,FIFA World Cup qualification,44
Cascadia,CONIFA World Football Cup,17
Cayman Islands,CFU Caribbean Cup,13
Cayman Islands,CFU Caribbean Cup qualification,51
Cayman Islands,CONCACAF Nations League,16
Cayman Islands,CONCACAF Nations League qualification,1
Cayman Islands,FIFA World Cup qualification,8
Cayman Islands,Gold Cup qualification,1
Central African Republic,African Cup of Nations qualification,45
Central African Republic,African Nations Championship qualification,1
Central African Republic,FIFA World Cup qualification,15
Central African Republic,UDEAC Cup,15
Central African Republic,UNIFFAC Cup,13
Chad,African Cup of Nations qualification,29
Chad,African Nations Championship,1
Chad,African Nations Championship qualification,4
Chad,FIFA World Cup qualification,17
Chad,UDEAC Cup,24
Chad,UNIFFAC Cup,9
Chagos Islands,Atlantic Heritage Cup,2
Chagos Islands,CONIFA World Football Cup,5
Chagos Islands,World Unity Cup,5
Chameria,CONIFA European Football Cup,9
Chameria,CONIFA World Football Cup qualification,5
Chile,Brazil Independence Cup,7
Chile,Confederations Cup,4
Chile,Copa América,296
Chile,Copa Bernardo O'Higgins,7
Chile,Copa Carlos Dittborn,18
Chile,Copa Juan Pinto Durán,14
Chile,Copa del Pacífico,30
Chile,FIFA World Cup,40
Chile,FIFA World Cup qualification,237
Chile,Kirin Cup,1
Chile,Lunar New Year Cup,1
Chile,Matthews Cup,0
Chile,Millennium Cup,6
Chile,Pan American Championship,19
Chile,Rous Cup,0
China PR,AFC Asian Cup,88
China PR,AFC Asian Cup qualification,121
China PR,Beijing International Friendship Tournament,13
China PR,Cup of Ancient Civilizations,0
China PR,Dunhill Cup,13
China PR,Dynasty Cup,12
China PR,EAFF Championship,35
China PR,FIFA World Cup,0
China PR,FIFA World Cup qualification,271
China PR,GaNEFo,20
China PR,Great Wall Cup,5
China PR,Guangzhou International Friendship Tournament,8
China PR,King's Cup,15
China PR,Kirin Cup,3
China PR,Lunar New Year Cup,0
China PR,Merlion Cup,10
China PR,Nehru Cup,15
China PR,Prime Minister's Cup,5
Colombia,Bolivarian Games,6
Colombia,Brazil Independence Cup,3
Colombia,Confederations Cup,5
Colombia,Copa América,144
Colombia,FIFA World Cup,32
Colombia,FIFA World Cup qualification,206
Colombia,Gold Cup,14
Colombia,Kirin Challenge Cup,1
Colombia,Kirin Cup,1
Colombia,Lunar New Year Cup,0
Colombia,Rous Cup,1
Colombia,USA Cup,1
Comoros,African Cup of Nations,4
Comoros,African Cup of Nations qualification,15
Comoros,African Nations Championship,2
Comoros,African Nations Championship qualification,0
Comoros,Arab Cup qualification,5
Comoros,COSAFA Cup,8
Comoros,COSAFA Cup qualification,0
Comoros,FIFA World Cup qualification,10
Congo,African Cup of Nations,27
Congo,African Cup of Nations qualification,119
Congo,African Nations Championship,10
Congo,African Nations Championship qualification,3
Congo,Beijing International Friendship Tournament,0
Congo,FIFA World Cup qualification,77
Congo,Great Wall Cup,1
Congo,Jordan International Tournament,5
Congo,UDEAC Cup,38
Congo,UNIFFAC Cup,5
Cook Islands,FIFA World Cup qualification,12
Cook Islands,Oceania Nations Cup,1
Cook Islands,Oceania Nations Cup qualification,10
Cook Islands,Pacific Games,4
Cook Islands,South Pacific Games,8
Costa Rica,CCCF Championship,145
Costa Rica,CONCACAF Championship,64
Costa Rica,CONCACAF Championship qualification,21
Costa Rica,CONCACAF Nations League,11
Costa Rica,Copa América,17
Costa Rica,FIFA World Cup,22
Costa Rica,FIFA World Cup qualification,268
Costa Rica,Gold Cup,103
Costa Rica,Kirin Challenge Cup,0
Costa Rica,Korea Cup,1
Costa Rica,Pan American Championship,14
Costa Rica,UNCAF Cup,106
County of Nice,CONIFA European Football Cup,11
County of Nice,CONIFA World Football Cup,8
Crimea,ELF Cup,7
Croatia,FIFA World Cup,43
Croatia,FIFA World Cup qualification,129
Croatia,King Hassan II Tournament,3
Croatia,Kirin Cup,4
Croatia,Korea Cup,5
Croatia,Lunar New Year Cup,4
Croatia,UEFA Euro,30
Croatia,UEFA Euro qualification,148
Croatia,UEFA Nations League,25
Cuba,CCCF Championship,8
Cuba,CFU Caribbean Cup,59
Cuba,CFU Caribbean Cup qualification,109
Cuba,CONCACAF Championship,9
Cuba,CONCACAF Championship qualification,21
Cuba,CONCACAF Nations League,12
Cuba,CONCACAF Nations League qualification,15
Cuba,Copa América qualification,0
Cuba,FIFA World Cup,5
Cuba,FIFA World Cup qualification,72
Cuba,Gold Cup,21
Cuba,Gold Cup qualification,23
Cuba,NAFC Championship,7
Curaçao,ABCS Tournament,24
Curaçao,CCCF Championship,78
Curaçao,CFU Caribbean Cup,13
Curaçao,CFU Caribbean Cup qualification,78
Curaçao,CONCACAF Championship,27
Curaçao,CONCACAF Championship qualification,10
Curaçao,CONCACAF Nations League,11
Curaçao,CONCACAF Nations League qualification,22
Curaçao,FIFA World Cup qualification,59
Curaçao,Gold Cup,2
Curaçao,Gold Cup qualification,4
Curaçao,Phillip Seaga Cup,3
Cyprus,Cyprus International Tournament,42
Cyprus,FIFA World Cup qualification,91
Cyprus,UEFA Euro qualification,101
Cyprus,UEFA Nations League,13
Czech Republic,Confederations Cup,10
Czech Republic,Cyprus International Tournament,6
Czech Republic,FIFA World Cup,3
Czech Republic,FIFA World Cup qualification,149
Czech Republic,King Hassan II Tournament,3
Czech Republic,Kirin Cup,1
Czech Republic,Korea Cup,2
Czech Republic,Lunar New Year Cup,2
Czech Republic,UEFA Euro,36
Czech Republic,UEFA Euro qualification,156
Czech Republic,UEFA Nations League,18
Czechoslovakia,Balkan Cup,2
Czechoslovakia,Brazil Independence Cup,1
Czechoslovakia,Central European International Cup,104
Czechoslovakia,FIFA World Cup,44
Czechoslovakia,FIFA World Cup qualification,129
Czechoslovakia,Korea Cup,0
Czechoslovakia,UEFA Euro,12
Czechoslovakia,UEFA Euro qualification,107
DR Congo,African Cup of Nations,88
DR Congo,African Cup of Nations qualification,199
DR Congo,African Nations Championship,22
DR Congo,African Nations Championship qualification,6
DR Congo,Beijing International Friendship Tournament,5
DR Congo,COSAFA Cup,1
DR Congo,FIFA World Cup,0
DR Congo,FIFA World Cup qualification,143
DR Congo,Nile Basin Tournament,4
Darfur,CONIFA World Football Cup,0
Darfur,Viva World Cup,1
Denmark,CONMEBOL–UEFA Cup of Champions,1
Denmark,Confederations Cup,5
Denmark,FIFA World Cup,31
Denmark,FIFA World Cup qualification,242
Denmark,Kirin Cup,6
Denmark,Malta International Tournament,2
Denmark,Nordic Championship,314
Denmark,UEFA Euro,42
Denmark,UEFA Euro qualification,227
Denmark,UEFA Nations League,21
Djibouti,African Cup of Nations qualification,9
Djibouti,African Nations Championship,2
Djibouti,African Nations Championship qualification,3
Djibouti,Arab Cup qualification,3
Djibouti,CECAFA Cup,19
Djibouti,FIFA World Cup qualification,12
Djibouti,Mauritius Four Nations Cup,6
Dominica,CFU Caribbean Cup,2
Dominica,CFU Caribbean Cup qualification,73
Dominica,CONCACAF Nations League,13
Dominica,CONCACAF Nations League qualification,6
Dominica,FIFA World Cup qualification,20
Dominica,Windward Islands Tournament,70
Dominican Republic,CFU Caribbean Cup,5
Dominican Republic,CFU Caribbean Cup qualification,70
Dominican Republic,CONCACAF Championship qualification,0
Dominican Republic,CONCACAF Nations League,27
Dominican Republic,CONCACAF Nations League qualification,9
Dominican Republic,FIFA World Cup qualification,50
Dominican Republic,Gold Cup qualification,12
Ecuador,Bolivarian Games,10
Ecuador,Brazil Independence Cup,4
Ecuador,Copa América,137
Ecuador,FIFA World Cup,14
Ecuador,FIFA World Cup qualification,201
Ecuador,Gold Cup,2
Ecuador,Kirin Challenge Cup,0
Ecuador,Kirin Cup,1
Ecuador,Korea Cup,7
Egypt,African Cup of Nations,168
Egypt,African Cup of Nations qualification,180
Egypt,African Nations Championship,2
Egypt,Arab Cup,21
Egypt,Confederations Cup,9
Egypt,Cup of Ancient Civilizations,0
Egypt,FIFA World Cup,5
Egypt,FIFA World Cup qualification,184
Egypt,King's Cup,2
Egypt,Korea Cup,26
Egypt,Lunar New Year Cup,3
Egypt,Nile Basin Tournament,17
Egypt,Palestine Cup,29
Egypt,Prime Minister's Cup,4
Egypt,Simba Tournament,5
Egypt,United Arab Emirates Friendship Tournament,4
El Salvador,CCCF Championship,82
El Salvador,CONCACAF Championship,43
El Salvador,CONCACAF Championship qualification,45
El Salvador,CONCACAF Nations League,18
El Salvador,CONCACAF Nations League qualification,7
El Salvador,FIFA World Cup,1
El Salvador,FIFA World Cup qualification,205
El Salvador,Gold Cup,38
El Salvador,Gold Cup qualification,3
El Salvador,Kirin Challenge Cup,0
El Salvador,UNCAF Cup,56
Ellan Vannin,CONIFA European Football Cup,11
Ellan Vannin,CONIFA World Football Cup,18
England,British Home Championship,636
England,FIFA World Cup,104
England,FIFA World Cup qualification,314
England,King Hassan II Tournament,1
England,Rous Cup,7
England,Tournoi de France,3
England,UEFA Euro,51
England,UEFA Euro qualification,265
England,UEFA Nations League,18
England,USA Cup,2
Equatorial Guinea,African Cup of Nations,11
Equatorial Guinea,African Cup of Nations qualification,34
Equatorial Guinea,African Nations Championship,1
Equatorial Guinea,African Nations Championship qualification,7
Equatorial Guinea,FIFA World Cup qualification,27
Equatorial Guinea,UDEAC Cup,7
Equatorial Guinea,UNIFFAC Cup,5
Eritrea,African Cup of Nations qualification,13
Eritrea,CECAFA Cup,26
Eritrea,FIFA World Cup qualification,4
Estonia,Baltic Cup,68
Estonia,FIFA World Cup qualification,74
Estonia,King's Cup,3
Estonia,Malta International Tournament,3
Estonia,UEFA Euro qualification,51
Estonia,UEFA Nations League,19
Estonia,United Arab Emirates Friendship Tournament,4
Eswatini,African Cup of Nations qualification,40
Eswatini,African Nations Championship,2
Eswatini,African Nations Championship qualification,5
Eswatini,COSAFA Cup,44
Eswatini,COSAFA Cup qualification,6
Eswatini,FIFA World Cup qualification,16
Ethiopia,African Cup of Nations,31
Ethiopia,African Cup of Nations qualification,106
Ethiopia,African Nations Championship,14
Ethiopia,African Nations Championship qualification,6
Ethiopia,CECAFA Cup,114
Ethiopia,FIFA World Cup qualification,60
