home_team,away_team,home_score,away_score,tournament,difference
Sweden,Norway,5,2,Friendly,3
Sweden,Denmark,0,2,Friendly,2
Hungary,Austria,6,2,Friendly,4
Austria,Hungary,3,1,Friendly,2
Catalonia,Basque Country,1,3,Friendly,2
Denmark,Sweden,2,0,Friendly,2
Basque Country,Catalonia,5,0,Friendly,5
Norway,Denmark,0,2,Friendly,2
Chile,Uruguay,0,4,Copa América,4
Sweden,Norway,6,0,Friendly,6
Argentina,Chile,6,1,Copa América,5
Uruguay,Chile,4,1,Friendly,3
Argentina,Uruguay,3,1,Copa Newton,2
Argentina,Uruguay,7,2,Friendly,5
Sweden,Denmark,4,0,Friendly,4
Denmark,Norway,8,0,Friendly,8
Uruguay,Argentina,3,1,Friendly,2
Japan,Philippines,2,15,Friendly,13
Hungary,Austria,6,2,Friendly,4
Austria,Hungary,1,4,Friendly,3
Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo,2
Norway,Sweden,0,2,Friendly,2
Uruguay,Chile,4,0,Copa América,4
Argentina,Brazil,4,2,Copa América,2
Denmark,Norway,12,0,Friendly,12
Uruguay,Brazil,4,0,Copa América,4
Brazil,Chile,5,0,Copa América,5
Uruguay,Brazil,3,1,Friendly,2
Hungary,Austria,2,0,Friendly,2
Austria,Switzerland,5,1,Friendly,4
Sweden,Norway,2,0,Friendly,2
Austria,Hungary,0,2,Friendly,2
Denmark,Sweden,3,0,Friendly,3
Norway,Denmark,3,1,Friendly,2
Uruguay,Argentina,3,1,Copa Premio Honor Uruguayo,2
Argentina,Uruguay,2,0,Copa Newton,2
Austria,Hungary,0,3,Friendly,3
Denmark,Norway,4,0,Friendly,4
Brazil,Chile,6,0,Copa América,6
Paraguay,Argentina,1,5,Friendly,4
Paraguay,Argentina,0,3,Friendly,3
Chile,Uruguay,0,2,Copa América,2
Brazil,Argentina,3,1,Copa América,2
Argentina,Chile,4,1,Copa América,3
Denmark,Sweden,3,0,Friendly,3
Netherlands,Sweden,3,1,Friendly,2
Denmark,Norway,5,1,Friendly,4
Uruguay,Argentina,4,1,Copa Premio Honor Uruguayo,3
Sweden,Netherlands,4,1,Friendly,3
Sweden,Norway,1,5,Friendly,4
Austria,Hungary,2,0,Friendly,2
Sweden,Denmark,3,0,Friendly,3
Argentina,Uruguay,6,1,Copa Premio Honor Argentino,5
Uruguay,Argentina,4,2,Friendly,2
Italy,France,9,4,Friendly,5
Switzerland,France,0,2,Friendly,2
Scotland,Northern Ireland,3,0,British Home Championship,3
Switzerland,Italy,3,0,Friendly,3
Netherlands,Denmark,2,0,Friendly,2
Sweden,Finland,4,0,Friendly,4
Norway,Sweden,0,3,Friendly,3
Switzerland,Germany,4,1,Friendly,3
Uruguay,Argentina,2,0,Copa Premio Honor Uruguayo,2
Argentina,Uruguay,1,3,Copa Newton,2
Brazil,Uruguay,0,6,Copa América,6
Argentina,Brazil,2,0,Copa América,2
Sweden,Denmark,0,2,Friendly,2
Finland,Estonia,6,0,Friendly,6
England,Northern Ireland,2,0,British Home Championship,2
Northern Ireland,Scotland,0,2,British Home Championship,2
Belgium,France,3,1,Friendly,2
Catalonia,Provence,4,0,Friendly,4
Paraguay,Argentina,3,1,Friendly,2
Scotland,England,3,0,British Home Championship,3
Austria,Hungary,4,1,Friendly,3
Belgium,England,0,2,Friendly,2
Sweden,Finland,0,3,Friendly,3
Japan,Philippines,0,3,Friendly,3
Hungary,Germany,3,0,Friendly,3
Norway,Sweden,3,1,Friendly,2
Sweden,Austria,1,3,Friendly,2
Estonia,Finland,0,3,Friendly,3
Costa Rica,El Salvador,7,0,Friendly,7
Guatemala,Costa Rica,0,6,Friendly,6
Sweden,Norway,0,3,Friendly,3
Denmark,Norway,3,1,Friendly,2
Brazil,Paraguay,3,0,Copa América,3
Argentina,Paraguay,3,0,Copa América,3
Czechoslovakia,Yugoslavia,6,1,Friendly,5
Uruguay,Paraguay,4,2,Friendly,2
Hungary,Sweden,4,2,Friendly,2
France,Netherlands,0,5,Friendly,5
Spain,Portugal,3,1,Friendly,2
Belgium,Netherlands,4,0,Friendly,4
Netherlands,Denmark,2,0,Friendly,2
Austria,Germany,0,2,Friendly,2
France,Spain,0,4,Friendly,4
Poland,Hungary,0,3,Friendly,3
Italy,Belgium,4,2,Friendly,2
Finland,Sweden,1,4,Friendly,3
Austria,Switzerland,7,1,Friendly,6
Denmark,Czechoslovakia,0,3,Friendly,3
Norway,France,7,0,Friendly,7
New Zealand,Australia,3,1,Friendly,2
New Zealand,Australia,3,1,Friendly,2
Finland,Hungary,1,5,Friendly,4
Finland,Estonia,10,2,Friendly,8
Sweden,Czechoslovakia,0,2,Friendly,2
Finland,Norway,1,3,Friendly,2
Chile,Uruguay,0,2,Copa América,2
Norway,Sweden,0,5,Friendly,5
Argentina,Chile,4,0,Copa América,4
Yugoslavia,Poland,1,3,Friendly,2
Chile,Paraguay,0,3,Copa América,3
Brazil,Argentina,2,0,Copa América,2
Argentina,Paraguay,2,0,Copa América,2
England,Northern Ireland,2,0,British Home Championship,2
Brazil,Paraguay,3,0,Copa América,3
Brazil,Paraguay,3,1,Friendly,2
Switzerland,Netherlands,5,0,Friendly,5
Galicia,Central Spain,4,1,Friendly,3
Italy,Germany,3,1,Friendly,2
Guatemala,Mexico,3,1,Friendly,2
Guatemala,Mexico,1,4,Friendly,3
Andalusia,Galicia,1,4,Friendly,3
Switzerland,Austria,2,0,Friendly,2
Spain,France,3,0,Friendly,3
Luxembourg,Brittany,1,4,Friendly,3
Belgium,France,4,1,Friendly,3
Galicia,Asturias,1,3,Friendly,2
Switzerland,Hungary,1,6,Friendly,5
Scotland,Wales,2,0,British Home Championship,2
England,Belgium,6,1,Friendly,5
Netherlands,France,8,1,Friendly,7
Wales,Northern Ireland,0,3,British Home Championship,3
Czechoslovakia,Denmark,2,0,Friendly,2
France,England,1,4,Friendly,3
Argentina,Paraguay,0,2,Copa Chevallier Boutell,2
Sweden,England,2,4,Friendly,2
China PR,Philippines,3,0,Friendly,3
Japan,China PR,1,5,Friendly,4
Sweden,England,1,3,Friendly,2
Czechoslovakia,Italy,5,1,Friendly,4
Sweden,Austria,4,2,Friendly,2
Norway,Finland,3,0,Friendly,3
Lithuania,Estonia,0,5,Friendly,5
Australia,New Zealand,1,4,Friendly,3
Romania,Czechoslovakia,0,6,Friendly,6
Hungary,Finland,3,1,Friendly,2
Estonia,Russia,2,4,Friendly,2
