home_team,away_team,home_score,away_score,tournament,difference
Maldives,Nepal,2,0,SAFF Cup,2
Guernsey,Jersey,2,0,Friendly,2
Curaçao,Grenada,1,3,CFU Caribbean Cup qualification,2
Bermuda,Bahamas,6,0,CFU Caribbean Cup qualification,6
Cuba,Cayman Islands,4,1,CFU Caribbean Cup qualification,3
Spain,Croatia,3,1,Friendly,2
Trinidad and Tobago,South Africa,2,0,Friendly,2
Bermuda,Cayman Islands,4,1,CFU Caribbean Cup qualification,3
Cuba,Bahamas,7,0,CFU Caribbean Cup qualification,7
Cayman Islands,Bahamas,4,1,CFU Caribbean Cup qualification,3
Eswatini,Mozambique,3,1,COSAFA Cup qualification,2
Slovakia,Bulgaria,2,0,Friendly,2
Norway,Jamaica,6,0,Friendly,6
Haiti,Honduras,0,2,Friendly,2
Botswana,Mozambique,0,2,COSAFA Cup qualification,2
Chile,Costa Rica,3,0,Friendly,3
Saint Kitts and Nevis,Antigua and Barbuda,4,1,Friendly,3
Canada,Guatemala,2,0,Friendly,2
Cuba,Haiti,3,1,CFU Caribbean Cup,2
Ecuador,Guatemala,3,1,Friendly,2
Germany,Moldova,6,1,UEFA Euro qualification,5
Poland,Bulgaria,2,0,UEFA Euro qualification,2
Azerbaijan,Liechtenstein,4,0,UEFA Euro qualification,4
Bosnia and Herzegovina,Lithuania,2,0,UEFA Euro qualification,2
Estonia,Czech Republic,0,2,UEFA Euro qualification,2
Finland,Turkey,2,4,UEFA Euro qualification,2
Guam,Micronesia,3,0,Friendly,3
Iceland,Armenia,2,0,UEFA Euro qualification,2
Italy,Wales,4,0,UEFA Euro qualification,4
Jamaica,Guadeloupe,5,1,CFU Caribbean Cup,4
Romania,Hungary,2,0,UEFA Euro qualification,2
South Africa,Mauritius,2,0,African Cup of Nations qualification,2
Spain,San Marino,9,0,UEFA Euro qualification,9
Trinidad and Tobago,Grenada,7,0,CFU Caribbean Cup,7
Ukraine,Andorra,4,0,UEFA Euro qualification,4
Gabon,Angola,3,1,African Cup of Nations qualification,2
Haiti,Saint Kitts and Nevis,2,0,CFU Caribbean Cup,2
Israel,Austria,5,0,UEFA Euro qualification,5
Mali,Congo,3,1,African Cup of Nations qualification,2
Tunisia,Algeria,2,0,African Cup of Nations qualification,2
Brazil,Netherlands,3,1,Friendly,2
Cuba,Saint Kitts and Nevis,2,0,CFU Caribbean Cup,2
Serbia,Malta,4,1,UEFA Euro qualification,3
Portugal,Liechtenstein,8,0,UEFA Euro qualification,8
Romania,Azerbaijan,4,0,UEFA Euro qualification,4
Wales,Denmark,0,2,UEFA Euro qualification,2
Cuba,Jamaica,2,0,CFU Caribbean Cup,2
Guam,Micronesia,4,1,Friendly,3
Trinidad and Tobago,Haiti,6,1,CFU Caribbean Cup,5
Brazil,Poland,2,0,Friendly,2
Egypt,Mexico,0,2,Korea Cup,2
Thailand,Brazil,0,2,Friendly,2
Algeria,Uganda,2,0,African Cup of Nations qualification,2
Congo,Namibia,3,0,African Cup of Nations qualification,3
Liberia,Tunisia,2,0,African Cup of Nations qualification,2
Venezuela,Peru,3,0,Friendly,3
Saudi Arabia,Jordan,2,0,Friendly,2
Peru,Venezuela,3,0,Friendly,3
Brazil,Latvia,3,0,Friendly,3
Gotland,Hitra,12,1,Island Games,11
Isle of Wight,Frøya,6,2,Island Games,4
Greenland,Saare County,4,1,Island Games,3
Gotland,Shetland,3,1,Island Games,2
Hitra,Isle of Man,0,13,Island Games,13
Frøya,Greenland,1,3,Island Games,2
Saare County,Isle of Wight,1,6,Island Games,5
Gibraltar,Jersey,1,5,Island Games,4
Shetland,Hitra,4,1,Island Games,3
Isle of Wight,Greenland,7,2,Island Games,5
Saare County,Frøya,1,4,Island Games,3
Brazil,Venezuela,7,0,Copa América,7
Argentina,Ecuador,3,1,Copa América,2
Guernsey,Frøya,4,2,Island Games,2
Greenland,Rhodes,0,2,Island Games,2
Gotland,Åland Islands,1,4,Island Games,3
Gotland,Greenland,7,2,Island Games,5
Isle of Wight,Ynys Môn,1,3,Island Games,2
Paraguay,Japan,4,0,Copa América,4
Gibraltar,Frøya,5,1,Island Games,4
Isle of Wight,Jersey,2,0,Island Games,2
Chile,Venezuela,3,0,Copa América,3
Malaysia,New Zealand,1,5,Friendly,4
Argentina,Colombia,0,3,Copa América,3
Malawi,Uganda,0,2,Friendly,2
Mexico,Venezuela,3,1,Copa América,2
Uruguay,Argentina,0,2,Copa América,2
Canada,Saudi Arabia,0,2,Friendly,2
Uzbekistan,Malaysia,3,0,Friendly,3
Micronesia,Northern Mariana Islands,7,0,Friendly,7
Mexico,Brazil,0,2,Copa América,2
Jamaica,Saudi Arabia,0,4,Friendly,4
Brazil,Uruguay,3,0,Copa América,3
Jordan,Syria,4,0,Friendly,4
Senegal,Eritrea,6,2,African Cup of Nations qualification,4
Brazil,Germany,4,0,Confederations Cup,4
Rwanda,Djibouti,4,1,CECAFA Cup,3
Ethiopia,Zanzibar,2,0,CECAFA Cup,2
Mexico,Saudi Arabia,5,1,Confederations Cup,4
Burundi,Somalia,3,0,CECAFA Cup,3
El Salvador,Guatemala,0,2,Friendly,2
Germany,New Zealand,2,0,Confederations Cup,2
Egypt,Saudi Arabia,1,5,Confederations Cup,4
Somalia,Uganda,0,2,CECAFA Cup,2
New Zealand,Brazil,0,2,Confederations Cup,2
United States,Germany,2,0,Confederations Cup,2
Brazil,Saudi Arabia,8,2,Confederations Cup,6
Kenya,Sudan,3,0,CECAFA Cup,3
Oman,Kyrgyzstan,3,0,AFC Asian Cup qualification,3
United States,Saudi Arabia,2,0,Confederations Cup,2
Iraq,Oman,2,0,AFC Asian Cup qualification,2
Iraq,Kyrgyzstan,5,1,AFC Asian Cup qualification,4
Senegal,Zimbabwe,2,0,African Cup of Nations qualification,2
Lesotho,Eswatini,0,3,Friendly,3
Zimbabwe,Eritrea,4,0,African Cup of Nations qualification,4
Belarus,Russia,0,2,Friendly,2
Czech Republic,Switzerland,3,0,Friendly,3
Estonia,Armenia,2,0,Friendly,2
Greece,El Salvador,3,1,Friendly,2
Portugal,Andorra,4,0,Friendly,4
Slovenia,Albania,2,0,UEFA Euro qualification,2
Uzbekistan,Azerbaijan,5,1,Friendly,4
Greece,El Salvador,3,0,Friendly,3
Argentina,Brazil,2,0,Friendly,2
Austria,Spain,1,3,UEFA Euro qualification,2
England,Luxembourg,6,0,UEFA Euro qualification,6
Faroe Islands,Estonia,0,2,UEFA Euro qualification,2
Iceland,Andorra,3,0,UEFA Euro qualification,3
Lithuania,Czech Republic,0,4,UEFA Euro qualification,4
Northern Ireland,Turkey,0,3,UEFA Euro qualification,3
Russia,Armenia,2,0,UEFA Euro qualification,2
Slovakia,Romania,1,5,UEFA Euro qualification,4
Serbia,North Macedonia,3,1,UEFA Euro qualification,2
Belgium,Morocco,4,0,Friendly,4
Brazil,Argentina,4,2,Friendly,2
Czech Republic,Bosnia and Herzegovina,3,0,UEFA Euro qualification,3
Germany,Northern Ireland,4,0,UEFA Euro qualification,4
Hungary,Azerbaijan,3,0,UEFA Euro qualification,3
Israel,San Marino,8,0,UEFA Euro qualification,8
North Macedonia,Serbia,2,4,UEFA Euro qualification,2
Norway,Slovenia,4,0,UEFA Euro qualification,4
Slovakia,Liechtenstein,2,0,UEFA Euro qualification,2
Spain,Cyprus,8,0,UEFA Euro qualification,8
Switzerland,Belarus,2,0,UEFA Euro qualification,2
Uruguay,Venezuela,2,0,Friendly,2
Bermuda,Cayman Islands,3,1,Friendly,2
Dominica,Saint Lucia,0,2,Friendly,2
Cayman Islands,Bahamas,4,0,Friendly,4
Greece,Albania,2,0,UEFA Euro qualification,2
Andorra,Armenia,0,3,UEFA Euro qualification,3
Czech Republic,Faroe Islands,2,0,UEFA Euro qualification,2
Estonia,Bosnia and Herzegovina,1,4,UEFA Euro qualification,3
Finland,Northern Ireland,4,1,UEFA Euro qualification,3
Liechtenstein,Romania,0,3,UEFA Euro qualification,3
Portugal,Hungary,3,0,UEFA Euro qualification,3
Scotland,Lithuania,3,0,UEFA Euro qualification,3
Slovenia,Greece,0,3,UEFA Euro qualification,3
Sweden,Poland,2,0,UEFA Euro qualification,2
Wales,Switzerland,0,2,UEFA Euro qualification,2
Austria,Cyprus,3,1,UEFA Euro qualification,2
Bulgaria,Luxembourg,3,0,UEFA Euro qualification,3
Cuba,El Salvador,3,1,Gold Cup qualification,2
Spain,Israel,3,0,UEFA Euro qualification,3
Hong Kong,Cambodia,4,1,AFC Asian Cup qualification,3
Cayman Islands,Jamaica,1,4,Friendly,3
Cambodia,Indonesia,1,5,AFC Asian Cup qualification,4
United Arab Emirates,Turkmenistan,3,1,United Arab Emirates Friendship Tournament,2
Iraq,Turkmenistan,3,0,United Arab Emirates Friendship Tournament,3
Gabon,Equatorial Guinea,4,0,UNIFFAC Cup,4
Central African Republic,Chad,4,1,UNIFFAC Cup,3
Chad,São Tomé and Príncipe,5,0,UNIFFAC Cup,5
Congo,Chad,0,2,UNIFFAC Cup,2
Equatorial Guinea,Central African Republic,4,2,UNIFFAC Cup,2
Central African Republic,São Tomé and Príncipe,3,0,UNIFFAC Cup,3
France,Croatia,3,0,Friendly,3
Greece,Nigeria,2,0,Friendly,2
Israel,Denmark,0,5,UEFA Euro qualification,5
Italy,Belgium,1,3,Friendly,2
Scotland,England,0,2,UEFA Euro qualification,2
Central African Republic,Congo,4,2,UNIFFAC Cup,2
Gabon,Chad,2,0,UNIFFAC Cup,2
Indonesia,Hong Kong,3,1,AFC Asian Cup qualification,2
São Tomé and Príncipe,Equatorial Guinea,2,0,UNIFFAC Cup,2
Denmark,Israel,3,0,UEFA Euro qualification,3
Spain,Argentina,0,2,Friendly,2
Indonesia,Cambodia,9,2,AFC Asian Cup qualification,7
Senegal,Ivory Coast,3,0,Friendly,3
Bangladesh,Uzbekistan,0,6,AFC Asian Cup qualification,6
Gabon,Nigeria,0,2,Friendly,2
United Arab Emirates,India,3,1,AFC Asian Cup qualification,2
Sri Lanka,Uzbekistan,0,6,AFC Asian Cup qualification,6
United Arab Emirates,Bangladesh,3,0,AFC Asian Cup qualification,3
Costa Rica,Slovakia,4,0,Friendly,4
Sri Lanka,Bangladesh,1,3,AFC Asian Cup qualification,2
Sri Lanka,India,1,3,AFC Asian Cup qualification,2
United Arab Emirates,Sri Lanka,6,0,AFC Asian Cup qualification,6
Senegal,Gambia,3,0,Friendly,3
Saint Lucia,Dominica,3,1,Friendly,2
Greece,Moldova,2,0,Friendly,2
Honduras,Zambia,7,1,Friendly,6
Tunisia,Ghana,2,0,Friendly,2
Libya,Gabon,2,0,Friendly,2
Ivory Coast,Burkina Faso,3,1,Friendly,2
Libya,Togo,2,0,Friendly,2
Basque Country,Nigeria,5,1,Friendly,4
Tunisia,Togo,7,0,Friendly,7
Ivory Coast,Egypt,2,0,Friendly,2
Bermuda,Canada,0,2,Friendly,2
Ghana,Tunisia,2,0,Friendly,2
Panama,Guatemala,2,0,Friendly,2
Malta,Qatar,2,0,Friendly,2
China PR,Philippines,8,0,AFC Asian Cup qualification,8
Egypt,Zambia,2,0,African Cup of Nations,2
Nigeria,Tunisia,4,2,African Cup of Nations,2
South Africa,Gabon,3,1,African Cup of Nations,2
Vietnam,Guam,11,0,AFC Asian Cup qualification,11
Qatar,Bosnia and Herzegovina,2,0,Friendly,2
Burkina Faso,Senegal,1,3,African Cup of Nations,2
China PR,Guam,19,0,AFC Asian Cup qualification,19
Spain,Poland,3,0,Friendly,3
Vietnam,Philippines,3,0,AFC Asian Cup qualification,3
Ghana,Togo,2,0,African Cup of Nations,2
Cameroon,Ivory Coast,3,0,African Cup of Nations,3
United States Virgin Islands,Saint Lucia,0,9,Friendly,9
Algeria,Gabon,3,1,African Cup of Nations,2
Philippines,Guam,2,0,AFC Asian Cup qualification,2
Vietnam,China PR,0,2,AFC Asian Cup qualification,2
United States Virgin Islands,Saint Lucia,0,2,Friendly,2
Ghana,Ivory Coast,0,2,African Cup of Nations,2
Kuwait,Syria,4,0,Friendly,4
Egypt,Burkina Faso,4,2,African Cup of Nations,2
Romania,Latvia,2,0,Cyprus International Tournament,2
Nigeria,Morocco,2,0,African Cup of Nations,2
Albania,Andorra,3,0,Malta International Tournament,3
Malta,Azerbaijan,3,0,Malta International Tournament,3
Singapore,Malaysia,3,1,Friendly,2
Syria,North Korea,5,1,Friendly,4
Honduras,El Salvador,5,1,Friendly,4
Cameroon,Tunisia,3,0,African Cup of Nations,3
Kuwait,Turkmenistan,6,1,AFC Asian Cup qualification,5
Nepal,Yemen,0,3,AFC Asian Cup qualification,3
Nigeria,South Africa,2,0,African Cup of Nations,2
Nepal,Bhutan,3,0,AFC Asian Cup qualification,3
United States,Haiti,3,0,Gold Cup,3
Mexico,Trinidad and Tobago,4,0,Gold Cup,4
Singapore,Japan,0,3,AFC Asian Cup qualification,3
Jamaica,Honduras,0,2,Gold Cup,2
Kuwait,Bhutan,20,0,AFC Asian Cup qualification,20
Turkmenistan,Nepal,5,0,AFC Asian Cup qualification,5
Chile,Slovakia,0,2,Friendly,2
Malaysia,Maldives,2,0,Friendly,2
Trinidad and Tobago,Guatemala,4,2,Gold Cup,2
Bhutan,Turkmenistan,0,8,AFC Asian Cup qualification,8
Honduras,Colombia,2,0,Gold Cup,2
Japan,Brunei,9,0,AFC Asian Cup qualification,9
Kuwait,Yemen,2,0,AFC Asian Cup qualification,2
Panama,El Salvador,4,1,Friendly,3
Malaysia,Maldives,3,0,Friendly,3
Kuwait,Nepal,5,0,AFC Asian Cup qualification,5
Yemen,Bhutan,11,2,AFC Asian Cup qualification,9
Dominica,Antigua and Barbuda,2,0,Friendly,2
Honduras,Peru,3,5,Gold Cup,2
Oman,Switzerland,1,4,Friendly,3
Macau,Japan,0,3,AFC Asian Cup qualification,3
Estonia,Finland,2,4,King's Cup,2
Greece,Austria,4,1,Friendly,3
Hungary,Australia,0,3,Friendly,3
Israel,Russia,4,1,Friendly,3
Luxembourg,Northern Ireland,1,3,Friendly,2
Oman,Slovenia,0,4,Friendly,4
Thailand,Brazil,0,7,King's Cup,7
Turkey,Norway,0,2,Friendly,2
British Virgin Islands,Anguilla,5,0,Friendly,5
Canada,Colombia,2,0,Gold Cup,2
Thailand,Finland,5,1,King's Cup,4
El Salvador,Panama,3,1,Friendly,2
Uzbekistan,Mongolia,8,1,Friendly,7
Zambia,Lesotho,2,0,Friendly,2
Honduras,Nicaragua,3,0,FIFA World Cup qualification,3
Trinidad and Tobago,Curaçao,5,0,FIFA World Cup qualification,5
Anguilla,Bahamas,1,3,FIFA World Cup qualification,2
Bolivia,Haiti,9,2,Friendly,7
British Virgin Islands,Bermuda,1,5,FIFA World Cup qualification,4
Cuba,Cayman Islands,4,0,FIFA World Cup qualification,4
Dominican Republic,Montserrat,3,0,FIFA World Cup qualification,3
El Salvador,Belize,5,0,FIFA World Cup qualification,5
Saint Vincent and the Grenadines,United States Virgin Islands,9,0,FIFA World Cup qualification,9
Ecuador,Honduras,1,3,Friendly,2
Cuba,Nicaragua,4,0,Friendly,4
Qatar,Sudan,3,0,Friendly,3
Aruba,Puerto Rico,4,2,FIFA World Cup qualification,2
Haiti,Dominica,4,0,FIFA World Cup qualification,4
Saint Kitts and Nevis,Turks and Caicos Islands,8,0,FIFA World Cup qualification,8
Bermuda,British Virgin Islands,9,0,FIFA World Cup qualification,9
Botswana,Eswatini,3,0,Friendly,3
Dominica,Haiti,1,3,FIFA World Cup qualification,2
Montserrat,Dominican Republic,1,3,FIFA World Cup qualification,2
Nicaragua,Panama,0,2,FIFA World Cup qualification,2
United States Virgin Islands,Saint Vincent and the Grenadines,1,5,FIFA World Cup qualification,4
Saint Kitts and Nevis,Turks and Caicos Islands,6,0,FIFA World Cup qualification,6
Chile,Honduras,5,2,Friendly,3
Malaysia,Taiwan,3,0,AFC Asian Cup qualification,3
Zambia,Botswana,3,0,COSAFA Cup,3
Thailand,Taiwan,2,0,AFC Asian Cup qualification,2
El Salvador,Haiti,3,1,Friendly,2
Malta,Northern Ireland,0,3,Friendly,3
Argentina,Chile,4,1,FIFA World Cup qualification,3
Bulgaria,Belarus,4,1,Friendly,3
Czech Republic,Australia,3,1,Friendly,2
Ecuador,Venezuela,2,0,FIFA World Cup qualification,2
Greece,Romania,2,0,Friendly,2
Peru,Paraguay,2,0,FIFA World Cup qualification,2
Scotland,France,0,2,Friendly,2
Spain,Italy,2,0,Friendly,2
Maldives,Iran,0,8,AFC Asian Cup qualification,8
Aruba,Barbados,1,3,FIFA World Cup qualification,2
Haiti,Bahamas,9,0,FIFA World Cup qualification,9
Bahrain,Maldives,4,1,AFC Asian Cup qualification,3
Palestine,Pakistan,2,0,AFC Asian Cup qualification,2
Qatar,Kazakhstan,3,1,AFC Asian Cup qualification,2
Trinidad and Tobago,Dominican Republic,3,0,FIFA World Cup qualification,3
Palestine,Jordan,1,5,AFC Asian Cup qualification,4
Qatar,Pakistan,5,0,AFC Asian Cup qualification,5
Thailand,North Korea,5,3,AFC Asian Cup qualification,2
Myanmar,Mongolia,2,0,AFC Asian Cup qualification,2
South Korea,Laos,9,0,AFC Asian Cup qualification,9
Kazakhstan,Palestine,2,0,AFC Asian Cup qualification,2
Malaysia,North Korea,1,4,AFC Asian Cup qualification,3
Pakistan,Jordan,0,5,AFC Asian Cup qualification,5
Myanmar,Laos,4,0,AFC Asian Cup qualification,4
South Korea,Mongolia,6,0,AFC Asian Cup qualification,6
Fiji,Papua New Guinea,5,0,Oceania Nations Cup qualification,5
Madagascar,Gabon,2,0,FIFA World Cup qualification,2
Malawi,Kenya,2,0,FIFA World Cup qualification,2
New Caledonia,Solomon Islands,4,2,Oceania Nations Cup qualification,2
Pakistan,Kazakhstan,0,4,AFC Asian Cup qualification,4
São Tomé and Príncipe,Sierra Leone,2,0,FIFA World Cup qualification,2
Equatorial Guinea,Congo,1,3,FIFA World Cup qualification,2
Iran,Bahrain,3,0,AFC Asian Cup qualification,3
South Korea,Myanmar,4,0,AFC Asian Cup qualification,4
Lesotho,South Africa,0,2,FIFA World Cup qualification,2
Libya,Mali,3,0,FIFA World Cup qualification,3
Egypt,Mauritius,2,0,FIFA World Cup qualification,2
Fiji,Vanuatu,4,1,Oceania Nations Cup qualification,3
New Caledonia,Papua New Guinea,6,1,Oceania Nations Cup qualification,5
Iran,Maldives,3,0,AFC Asian Cup qualification,3
Solomon Islands,Papua New Guinea,4,2,Oceania Nations Cup qualification,2
Vanuatu,New Caledonia,6,0,Oceania Nations Cup qualification,6
Papua New Guinea,Vanuatu,1,4,Oceania Nations Cup qualification,3
Bahamas,Haiti,0,4,FIFA World Cup qualification,4
Barbados,Aruba,4,0,FIFA World Cup qualification,4
Belize,El Salvador,1,3,FIFA World Cup qualification,2
Cameroon,Somalia,3,0,FIFA World Cup qualification,3
Algeria,Cape Verde,2,0,FIFA World Cup qualification,2
Morocco,Gambia,2,0,FIFA World Cup qualification,2
Namibia,Seychelles,3,0,FIFA World Cup qualification,3
Nigeria,Eritrea,4,0,FIFA World Cup qualification,4
Sierra Leone,São Tomé and Príncipe,4,0,FIFA World Cup qualification,4
Tunisia,Mauritania,3,0,FIFA World Cup qualification,3
Angola,Eswatini,7,1,FIFA World Cup qualification,6
Burkina Faso,Ethiopia,3,0,FIFA World Cup qualification,3
Cameroon,Somalia,3,0,FIFA World Cup qualification,3
DR Congo,Djibouti,9,1,FIFA World Cup qualification,8
Egypt,Mauritius,4,2,FIFA World Cup qualification,2
Guinea,Uganda,3,0,FIFA World Cup qualification,3
Ivory Coast,Rwanda,2,0,FIFA World Cup qualification,2
Mali,Libya,3,1,FIFA World Cup qualification,2
Togo,Guinea-Bissau,3,0,FIFA World Cup qualification,3
Zimbabwe,Central African Republic,3,1,FIFA World Cup qualification,2
Andorra,Belarus,2,0,Friendly,2
Czech Republic,Israel,4,1,Friendly,3
Italy,Portugal,2,0,Friendly,2
Norway,Belgium,0,2,Friendly,2
Romania,Cyprus,2,0,Friendly,2
Russia,United States,2,0,Friendly,2
Venezuela,Argentina,0,4,FIFA World Cup qualification,4
South Africa,Mauritius,3,0,COSAFA Cup,3
Dominica,Sint Maarten,3,1,Friendly,2
Guinea,Mali,3,1,Amílcar Cabral Cup,2
Honduras,Panama,3,1,FIFA World Cup qualification,2
Trinidad and Tobago,Haiti,3,1,FIFA World Cup qualification,2
Cape Verde,Guinea,2,0,Amílcar Cabral Cup,2
Guinea,Mali,2,0,Amílcar Cabral Cup,2
Thailand,Uzbekistan,2,0,Friendly,2
Saint Vincent and the Grenadines,Antigua and Barbuda,4,0,FIFA World Cup qualification,4
Panama,Nicaragua,4,0,FIFA World Cup qualification,4
Jordan,Kyrgyzstan,2,0,WAFF Championship,2
Wales,Brazil,0,3,Friendly,3
Iran,Kazakhstan,3,0,WAFF Championship,3
China PR,Serbia,0,2,Friendly,2
Kyrgyzstan,Lebanon,0,2,WAFF Championship,2
Algeria,Burkina Faso,2,0,Friendly,2
Kazakhstan,Syria,0,4,WAFF Championship,4
Iraq,Kyrgyzstan,4,0,WAFF Championship,4
Jamaica,Colombia,0,3,Friendly,3
Norway,Slovakia,2,0,Friendly,2
Croatia,France,0,2,Friendly,2
England,Ukraine,2,0,Friendly,2
Venezuela,Panama,3,1,Friendly,2
Botswana,Mozambique,2,0,Friendly,2
Jordan,Iraq,1,4,WAFF Championship,3
Portugal,Wales,3,0,Friendly,3
Singapore,Qatar,1,5,Friendly,4
Algeria,Guinea,4,0,Friendly,4
Honduras,Haiti,4,0,FIFA World Cup qualification,4
Paraguay,Ecuador,3,1,FIFA World Cup qualification,2
Slovenia,Saudi Arabia,2,0,Friendly,2
United States,South Africa,4,0,USA Cup,4
Colombia,Venezuela,3,0,FIFA World Cup qualification,3
Estonia,Belarus,2,0,Friendly,2
Netherlands,Poland,3,1,Friendly,2
Jamaica,Japan,0,4,King Hassan II Tournament,4
Morocco,France,1,5,King Hassan II Tournament,4
Nigeria,Malawi,4,1,Friendly,3
Germany,Liechtenstein,8,2,Friendly,6
Mexico,South Africa,4,2,USA Cup,2
Iran,North Macedonia,3,1,Friendly,2
France,Denmark,3,0,UEFA Euro,3
Tunisia,Senegal,4,1,Friendly,3
United States,Mexico,3,0,USA Cup,3
New Caledonia,Vanuatu,3,1,Friendly,2
Belgium,Italy,0,2,UEFA Euro,2
Bolivia,Slovakia,0,2,Kirin Cup,2
Netherlands,Denmark,3,0,UEFA Euro,3
Egypt,Ghana,2,0,Friendly,2
Haiti,Honduras,1,3,FIFA World Cup qualification,2
Madagascar,DR Congo,3,0,FIFA World Cup qualification,3
Nigeria,Sierra Leone,2,0,FIFA World Cup qualification,2
Guatemala,Antigua and Barbuda,8,1,FIFA World Cup qualification,7
Japan,Bolivia,2,0,Kirin Cup,2
Libya,Cameroon,0,3,FIFA World Cup qualification,3
South Africa,Eswatini,2,0,COSAFA Cup,2
Sudan,Liberia,2,0,FIFA World Cup qualification,2
Australia,Cook Islands,17,0,Oceania Nations Cup,17
Belgium,Turkey,0,2,UEFA Euro,2
Tahiti,New Zealand,0,2,Oceania Nations Cup,2
Portugal,Germany,3,0,UEFA Euro,3
Denmark,Czech Republic,0,2,UEFA Euro,2
New Zealand,Vanuatu,3,1,Oceania Nations Cup,2
Solomon Islands,Cook Islands,5,1,Oceania Nations Cup,4
Gabon,Congo,0,2,Friendly,2
Solomon Islands,Australia,0,6,Oceania Nations Cup,6
Italy,Romania,2,0,UEFA Euro,2
Turkey,Portugal,0,2,UEFA Euro,2
Ecuador,Panama,5,0,Friendly,5
Lebanon,Kuwait,3,1,Friendly,2
Netherlands,Serbia,6,1,UEFA Euro,5
New Zealand,Solomon Islands,2,0,Oceania Nations Cup,2
Australia,New Zealand,2,0,Oceania Nations Cup,2
Venezuela,Bolivia,4,2,FIFA World Cup qualification,2
Chile,Paraguay,3,1,FIFA World Cup qualification,2
Colombia,Argentina,1,3,FIFA World Cup qualification,2
Djibouti,Burundi,1,3,African Cup of Nations qualification,2
Costa Rica,Panama,5,1,Friendly,4
El Salvador,Mexico,0,3,Friendly,3
Uganda,Malawi,3,1,African Cup of Nations qualification,2
Benin,Namibia,2,0,African Cup of Nations qualification,2
Sudan,Eritrea,5,1,African Cup of Nations qualification,4
Guatemala,Haiti,4,1,Friendly,3
Rwanda,Uganda,2,0,Friendly,2
Trinidad and Tobago,Cuba,4,1,Friendly,3
Jamaica,Barbados,5,0,Friendly,5
Trinidad and Tobago,Jamaica,2,4,Friendly,2
Zambia,Togo,2,0,FIFA World Cup qualification,2
Cameroon,Angola,3,0,FIFA World Cup qualification,3
DR Congo,Congo,2,0,FIFA World Cup qualification,2
Ghana,Sierra Leone,5,0,FIFA World Cup qualification,5
Zimbabwe,South Africa,0,2,FIFA World Cup qualification,2
Libya,Chad,3,1,African Cup of Nations qualification,2
Gabon,São Tomé and Príncipe,4,1,African Cup of Nations qualification,3
Kenya,Eswatini,3,0,African Cup of Nations qualification,3
Namibia,Benin,8,2,African Cup of Nations qualification,6
Zambia,Ethiopia,2,0,African Cup of Nations qualification,2
Angola,Equatorial Guinea,4,1,African Cup of Nations qualification,3
Canada,Trinidad and Tobago,0,2,FIFA World Cup qualification,2
DR Congo,Central African Republic,2,0,African Cup of Nations qualification,2
El Salvador,Honduras,2,5,FIFA World Cup qualification,3
Guinea,Gambia,2,0,African Cup of Nations qualification,2
Ivory Coast,Niger,6,0,African Cup of Nations qualification,6
Uruguay,Venezuela,3,1,FIFA World Cup qualification,2
Argentina,Ecuador,2,0,FIFA World Cup qualification,2
Guatemala,Barbados,2,0,FIFA World Cup qualification,2
El Salvador,Saint Vincent and the Grenadines,7,1,FIFA World Cup qualification,6
Jamaica,Honduras,3,1,FIFA World Cup qualification,2
Venezuela,Chile,0,2,FIFA World Cup qualification,2
Brazil,Argentina,3,1,FIFA World Cup qualification,2
Iceland,Malta,5,0,Friendly,5
Lebanon,Oman,3,1,Friendly,2
Malaysia,Myanmar,6,0,Friendly,6
Costa Rica,Venezuela,1,5,Friendly,4
Bahrain,Jordan,0,2,Friendly,2
Lesotho,Zimbabwe,0,3,COSAFA Cup,3
Chile,Brazil,3,0,FIFA World Cup qualification,3
Malaysia,Oman,2,0,Merdeka Tournament,2
Mexico,Canada,2,0,FIFA World Cup qualification,2
Honduras,Saint Vincent and the Grenadines,6,0,FIFA World Cup qualification,6
Bosnia and Herzegovina,Turkey,2,0,Friendly,2
Bulgaria,Belgium,1,3,Friendly,2
Ecuador,Bolivia,2,0,FIFA World Cup qualification,2
Faroe Islands,Denmark,0,2,Nordic Championship,2
Finland,Norway,3,1,Nordic Championship,2
Germany,Spain,4,1,Friendly,3
Japan,United Arab Emirates,3,1,Friendly,2
Portugal,Lithuania,5,1,Friendly,4
Trinidad and Tobago,Panama,6,0,FIFA World Cup qualification,6
United States,Barbados,7,0,FIFA World Cup qualification,7
Malaysia,New Zealand,0,2,Merdeka Tournament,2
Haiti,Honduras,0,4,Friendly,4
Sierra Leone,Togo,2,0,African Cup of Nations qualification,2
Cayman Islands,Jamaica,0,6,Friendly,6
Zimbabwe,Lesotho,3,0,COSAFA Cup,3
Indonesia,Myanmar,4,1,Friendly,3
Iraq,Taiwan,3,0,Friendly,3
Austria,Iran,5,1,Friendly,4
China PR,Thailand,3,1,Friendly,2
Gabon,Morocco,2,0,African Cup of Nations qualification,2
Germany,Greece,2,0,FIFA World Cup qualification,2
Honduras,El Salvador,5,0,FIFA World Cup qualification,5
Iraq,Uzbekistan,2,0,Friendly,2
Nigeria,Namibia,4,0,African Cup of Nations qualification,4
Paraguay,Venezuela,3,0,FIFA World Cup qualification,3
Turkey,Moldova,2,0,FIFA World Cup qualification,2
Uganda,Guinea,3,1,African Cup of Nations qualification,2
Ukraine,Poland,1,3,FIFA World Cup qualification,2
